endpoint_id,score_focal_hla__endpoint_local_epitope_second_hla_hybrid_v1,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__endpoint_local_epitope_second_hla_hybrid_v1,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__endpoint_local_epitope_second_hla_hybrid_v1,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__endpoint_local_epitope_second_hla_hybrid_v1,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__endpoint_local_epitope_second_hla_hybrid_v1,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3
covid_spike.0002aea4f5490474f00493630d8c215a5c66a976d2197c9cf59dcf0311f848d0,-3.1065922038529212,-7.520331,-2.637529,-3.3107567,-10.126493,-9.42297,-4.7351427,-5.3113484,-6.07157,-3.030781,-3.2544563,-4.7351427,-5.3113484,-2.701299945107951,-6.74485,-1.862048,-2.9215174,-7.6690836,-7.1685805,-4.081439,-4.7596436,-5.639014,-2.6095288,-2.8277638,-4.081439,-4.7596436,-2.710410533819169,-6.967578,-2.0847757,-2.921347,-8.599439,-7.7801723,-4.12653,-4.7901154,-5.7225943,-2.6390681,-2.8353689,-4.12653,-4.7901154,-1.2768179561314934,-5.029383,-0.14658129,-1.3970292,-5.76222,-5.271437,-2.6039853,-3.1955564,-3.9328556,-1.03794,-1.3113428,-2.6039853,-3.1955564,-1.2751796593774305,-5.548538,-0.665736,-1.3954066,-7.274703,-7.0957756,-2.865777,-3.3700142,-4.1428094,-1.1098256,-1.3439281,-2.865777,-3.3700142
covid_spike.000aeaec21d7fdd13df7a058b7e9b5283c7f1fb42c2c29dc5661e23b9d89411e,-2.3955561744480565,-6.0048704,-2.1336691,-2.51667,-9.331547,-8.200685,-2.51667,-2.51667,-3.8591123,-2.194898,-2.3799927,-3.4771776,-3.8591123,-1.8766961372691555,-5.034982,-1.163781,-1.9971154,-7.1962714,-7.099802,-1.9971154,-1.9971154,-2.845602,-1.246234,-1.7492054,-2.6312027,-2.845602,-1.6626845367166423,-5.1257925,-1.2545915,-1.7827487,-7.789704,-7.0274587,-1.7827487,-1.7827487,-2.9028893,-1.3272952,-1.5921055,-2.5630069,-2.9028893,-0.6150769110613333,-3.2511868,0.62001413,-0.735077,-5.293766,-5.3822637,-0.735077,-0.735077,-0.9465991,0.53563535,-0.13462554,-0.832512,-0.9465991,-0.4656678379412097,-3.85167,0.019530969,-0.58566785,-6.3284407,-5.9577413,-0.58566785,-0.58566785,-1.6329958,-0.05414518,-0.35681427,-1.2647002,-1.6329958
covid_spike.002181e2f25a523fdecde57b4cd3a92ff81f3fe6c40622907e72082f6791ba08,-4.951918218649998,-8.397924,-4.1212587,-6.4667735,-10.446865,-9.9537945,-6.4667735,-6.471554,-6.5327373,-4.477352,-5.778395,-6.471554,-6.4864254,-4.751764638132883,-7.325495,-3.0488288,-6.3011928,-7.6036315,-7.5526853,-6.3011928,-6.3484507,-6.381902,-4.2022986,-5.6541877,-6.3484507,-6.370438,-4.219057247859863,-7.568954,-3.2922878,-5.5719123,-8.857402,-8.331224,-5.5719123,-5.811969,-6.0359774,-3.9657855,-5.0902805,-5.811969,-5.944715,-3.1338822501529777,-5.526055,-1.2493886,-4.917589,-5.697164,-5.4138737,-4.917589,-4.9375963,-4.9741993,-2.7188256,-4.244249,-4.9375963,-4.961752,-2.893563638641896,-6.1763062,-1.8996402,-4.3607407,-7.573241,-7.428852,-4.3607407,-4.520208,-4.7036524,-2.6036763,-3.8143992,-4.520208,-4.6211443
covid_spike.002a54ea7e490a9fa2dd4a92c7e1d9a90027e33e7813aeb4b02abc9d4a7eb1e5,-2.4250079912705518,-6.415316,-1.6791177,-2.6984773,-8.284565,-7.8489647,-3.122247,-3.4939861,-4.2904377,-1.97709,-2.3418748,-3.122247,-3.4939861,-2.3220066121364047,-6.0990105,-1.362812,-2.6981668,-6.9202337,-6.9632025,-3.117013,-3.2696953,-4.079774,-1.8257561,-2.3386006,-3.117013,-3.2696953,-2.3455719354393687,-6.1739025,-1.4377041,-2.6994488,-7.219553,-6.975445,-3.1177092,-3.3659256,-4.127885,-1.8754624,-2.3395283,-3.1177092,-3.3659256,-1.0844944044742442,-4.4190764,0.31712186,-1.2046362,-5.0126605,-5.1996136,-1.5301926,-1.7735608,-2.4452639,-0.2537576,-0.78496236,-1.5301926,-1.7735608,-1.0847729431787276,-4.63756,0.0986384,-1.2048763,-5.621558,-5.3772035,-1.5301025,-1.8697753,-2.619682,-0.3502889,-0.7849761,-1.5301025,-1.8697753
covid_spike.007e0636ff4954f82233b4901c953d3cb96bfc69dc16a61bfe1ee048da686151,-5.2296489111691855,-8.563055,-4.691854,-5.2789097,-10.705821,-9.8527565,-5.2789097,-5.2789097,-7.1811776,-4.9272013,-5.2224045,-6.7014284,-7.1811776,-4.659915412510669,-7.4702554,-3.5990543,-4.7619133,-8.1756525,-7.9020658,-4.7619133,-4.7619133,-6.2985144,-4.1722345,-4.664792,-5.9033337,-6.2985144,-3.99548892437001,-7.2674513,-3.3962502,-4.043965,-8.934559,-8.273546,-4.043965,-4.043965,-5.9678297,-3.6959586,-3.9893522,-5.483994,-5.9678297,-2.838317059002613,-5.6514673,-1.780266,-3.1134946,-6.269535,-6.075818,-3.1134946,-3.1134946,-4.197943,-2.3885179,-2.8982587,-3.8267307,-4.197943,-2.5540476534802923,-6.0363865,-2.1651852,-2.725835,-7.751142,-7.177593,-2.725835,-2.725835,-4.5609436,-2.3870864,-2.6621084,-4.0863957,-4.5609436
covid_spike.00b4aba22ed661d03d7b11cee10773fe9198ea0211d4ee9b029e42d7b26dfe25,-3.854953847510439,-7.916972,-3.1807737,-4.219754,-10.817825,-10.373333,-5.057748,-5.577481,-6.1593347,-3.6283252,-4.048221,-5.057748,-5.577481,-3.675357238140458,-7.006085,-2.2698865,-4.2102304,-7.619307,-7.319516,-4.688839,-4.868515,-5.49323,-3.2453868,-3.8852816,-4.688839,-4.868515,-3.6172577349389377,-7.3720856,-2.635887,-4.2138186,-9.221052,-8.880072,-4.714738,-5.1569133,-5.6790986,-3.3664546,-3.901051,-4.714738,-5.1569133,-2.1796445700708107,-5.161527,-0.42532894,-2.5202146,-5.713117,-5.452977,-2.570919,-2.875425,-3.628,-1.3574102,-1.8764869,-2.570919,-2.875425,-2.1954710766280545,-5.894689,-1.1584908,-2.5298684,-7.9468136,-8.131882,-3.0007782,-3.3433337,-4.119488,-1.7344978,-2.200624,-3.0007782,-3.3433337
covid_spike.00b570ae8c77d351948c6e1a4f1907d3b9ced4a5c311e7b047b79f2e7fef90fa,-2.760770359408444,-5.6273794,-2.6316469,-2.8986979,-8.100525,-7.523655,-2.8986979,-2.8986979,-2.8986979,-2.6500583,-2.8331904,-4.2450266,-4.756745,-2.76143630322107,-5.485428,-2.4896953,-2.89939,-6.4605856,-6.668782,-2.89939,-2.89939,-2.89939,-2.6096015,-2.8335187,-4.2428575,-4.7564726,-2.7608477538154084,-5.560807,-2.565075,-2.8958259,-7.1805906,-6.8046713,-2.8958259,-2.8958259,-2.8958259,-2.6276255,-2.8305423,-4.2439237,-4.8140116,-1.7812434285588696,-4.2006216,-1.2048895,-1.9039323,-4.7319055,-4.8780627,-1.9039323,-1.9039323,-1.9039323,-1.4310973,-1.807589,-3.049572,-3.5301394,-1.756264411042535,-4.3884544,-1.3927222,-1.8785039,-5.721198,-5.241252,-1.8785039,-1.8785039,-1.8785039,-1.4899821,-1.806571,-3.1764233,-3.6167133
covid_spike.00c1dd640cce6fbcebf42848734e98205677dd338929f00a696f90d0cbe6a09b,-1.6080625528151906,-5.989124,-1.5117868,-1.6081038,-10.484928,-9.658807,-1.6081038,-3.7624805,-5.4110575,-1.5519063,-1.5947431,-3.7624805,-4.5510564,-1.3210791712132859,-5.620563,-1.1432261,-1.3267546,-7.9864974,-7.8257117,-1.3267546,-3.4852858,-4.961374,-1.2598876,-1.3135037,-3.4852858,-4.2211633,-0.8272910950816007,-5.299724,-0.82238704,-0.94729143,-9.09763,-8.349887,-0.94729143,-3.0953362,-4.6567183,-0.8882281,-0.93376166,-3.0953362,-3.8809667,-0.8205689088931182,-4.952921,-0.47558412,-0.9405703,-6.497652,-6.1096864,-0.9405703,-2.3048146,-3.7825189,-0.75591695,-0.877297,-2.3048146,-3.0940573,-0.9690420092505373,-5.3155346,-0.8381976,-1.0890455,-8.377523,-7.81812,-1.0890455,-2.9418745,-4.27726,-0.9761963,-1.0647588,-2.9418745,-3.6288064
covid_spike.00c6e4379eaf634a7be623455ff2eaed463d7d066433333faeb609e2a08218be,-2.120190798666173,-5.942716,-1.3783678,-2.4039989,-8.395773,-7.3107724,-2.4039989,-2.7278776,-3.79218,-1.5997771,-1.9831737,-2.7278776,-3.1518943,-1.283577220091722,-4.99796,-0.43361178,-1.4041507,-6.507976,-6.669389,-1.4041507,-1.7689443,-2.6562493,-0.6125095,-1.0106853,-1.7689443,-2.2275095,-1.245194151252523,-4.995561,-0.43121305,-1.3656204,-7.2658916,-6.807437,-1.3656204,-1.7498341,-2.639183,-0.57701796,-0.9846243,-1.7498341,-2.2218099,-0.15071341037563463,-3.3431134,1.2212347,-0.2707136,-4.6053066,-5.022049,-0.2707136,-0.52656764,-0.9042675,0.99299407,0.19895919,-0.52656764,-0.62709725,-0.2935043548103235,-3.5008097,1.0635384,-0.41350496,-5.6386943,-5.1379967,-0.41350496,-0.6271411,-1.047209,0.87171733,0.08865479,-0.6271411,-0.75165564
covid_spike.00dde237bf09b4d4bd74d7cf49c2f363d8556339505ca851b36259df8e16bf48,-5.3196973376517604,-7.572666,-4.576934,-5.641194,-10.286468,-11.051809,-5.641194,-5.641194,-5.641194,-4.5831146,-5.216762,-5.959841,-6.0771384,-5.334290844125532,-6.9626904,-3.9669578,-5.6415467,-7.7275543,-6.9378967,-5.6415467,-5.6415467,-5.6415467,-4.180844,-5.240907,-5.995394,-6.1140375,-5.310618805946712,-7.378113,-4.3823805,-5.6474266,-8.947646,-8.812799,-5.6474266,-5.6474266,-5.6474266,-4.4161077,-5.2230163,-5.966104,-6.0814204,-3.934556230259206,-5.309207,-2.3134747,-4.469706,-6.0062704,-5.2566867,-4.469706,-4.469706,-4.469706,-2.6203318,-3.8138292,-4.507698,-4.5994205,-4.084229951282836,-6.1190434,-3.123311,-4.545166,-7.728187,-7.283693,-4.545166,-4.545166,-4.545166,-3.1618664,-4.1196494,-4.8622465,-4.9796004
