endpoint_id,score_focal_hla__endpoint_local_epitope_second_hla_hybrid_v1,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__endpoint_local_epitope_second_hla_hybrid_v1,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__endpoint_local_epitope_second_hla_hybrid_v1,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__endpoint_local_epitope_second_hla_hybrid_v1,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__endpoint_local_epitope_second_hla_hybrid_v1,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3
pdac.02526ff00ce7913d5e46a73b1908fcba417a725286f686d34ef7616a43d6bf70,-0.551260673610732,-5.552862,-0.023433222,-0.6712624,-9.431329,-9.431599,-1.6984799,-2.5322611,-3.9950972,-0.11216285,-0.39527038,-1.2443702,-1.6984799,-0.5502494808306044,-5.1544585,0.3749703,-0.6702521,-7.1091666,-7.0455213,-1.5861982,-2.10746,-2.9195766,0.14562461,-0.39418638,-1.2432071,-1.5861982,-0.5512301398056565,-5.378321,0.15110768,-0.67123234,-7.9557595,-7.801448,-1.6984532,-2.3746016,-3.424996,-0.031640515,-0.39524275,-1.2443452,-1.6984532,-0.08845966929924262,-3.7976966,1.7317324,-0.20845987,-5.190336,-5.2202516,-0.5781339,-0.8558213,-1.3387358,1.279424,0.2649865,-0.45929545,-0.5781339,-0.08642457698518471,-4.3113685,1.2180605,-0.20642473,-6.5390754,-6.323653,-0.8028634,-1.168869,-2.0748246,0.91688293,0.2280568,-0.51067865,-0.8028634
pdac.043d435fab18ab0663607571cded83fa3fedb7f18cf08337ccfd992e13a908d5,-0.5732628512904763,-5.4776373,1.1816567,-0.69327545,-10.011145,-10.016282,-1.2448754,-2.050189,-4.0109024,0.9803673,-0.12413153,-0.82607013,-0.93637687,-0.5692707752125507,-5.252013,1.407281,-0.6892839,-7.3368692,-7.2794724,-1.2287043,-1.9112551,-3.3105724,1.0018597,-0.11827607,-0.8199338,-0.932486,-0.5195043380873331,-5.204538,1.4547563,-0.6395137,-8.457148,-8.11001,-1.1208053,-1.718779,-3.2472887,1.0864604,-0.06408573,-0.765098,-0.8130513,-0.13053138719791318,-3.9833486,2.6759455,-0.25053203,-5.4181504,-5.2869673,-0.41884497,-0.78392524,-1.6416701,1.8055012,0.40756154,-0.2862224,-0.29917577,-0.08255310436971688,-4.138271,2.5210233,-0.20255354,-7.082854,-6.6162043,-0.38113543,-0.73144484,-1.7863011,1.8612057,0.43615168,-0.25856322,-0.27946636
pdac.04bb5719ad19c5e17e37f696df2388a57067fd69f7ac215cc3837be95302abf5,-0.9367427189894356,-6.12055,-0.59112144,-1.0567502,-9.3386345,-8.6517515,-2.9517393,-3.7465641,-4.848545,-0.8331715,-0.99598086,-2.4418159,-2.9517393,-0.9301598959936889,-5.689765,-0.16033614,-1.0501915,-7.289819,-6.9278927,-2.1452157,-3.1049147,-4.1801844,-0.46320555,-0.6632728,-1.4251173,-2.1452157,-1.0182259965089275,-5.9183593,-0.38893053,-1.1382662,-8.187677,-7.653535,-2.3999803,-3.2572374,-4.4065704,-0.682332,-0.90748924,-1.8126147,-2.3999803,-0.1726338771934816,-4.284833,1.2445958,-0.2926341,-5.377973,-5.164918,-0.7243369,-1.4595951,-2.4819481,0.73539793,0.24505745,-0.46243757,-0.7243369,-0.22389373712520017,-4.6255875,0.9038413,-0.34389395,-6.682981,-5.5387754,-1.1500899,-1.7395558,-2.793416,0.45321766,0.00024116017,-0.7887558,-1.1500899
pdac.054d7893a10c38a5509acb681e77504fe3009c307ddfb869c976c200a0c3b793,-1.478770383467797,-5.576011,-0.04658206,-1.6080143,-8.63309,-8.351236,-1.6373979,-2.2193499,-3.6709301,-0.21034068,-0.9364412,-1.6298263,-1.6373979,-1.4588857954643366,-5.4317813,0.09764771,-1.5868717,-6.7919993,-6.795534,-1.6125213,-2.205272,-3.6247025,-0.19132575,-0.90183634,-1.5950167,-1.6125213,-1.4764865092048822,-5.6252537,-0.09582479,-1.6045132,-7.645053,-7.263239,-1.7328281,-2.406674,-3.813973,-0.32750267,-0.9133223,-1.6064714,-1.7328281,-0.4022589081996001,-4.026108,1.5033212,-0.5222616,-4.8787956,-5.1124005,-0.53879917,-1.0165234,-2.0351355,0.9989126,0.16963159,-0.5235164,-0.53879917,-0.4043408823431581,-4.2513657,1.2780635,-0.52434343,-6.0368853,-5.2751217,-0.58603406,-1.1323695,-2.2159402,0.9224541,0.15612711,-0.53710145,-0.58603406
pdac.076594af48300bc1dde37a255ef0df93fd3839702e75c13a6bfcf8ca8b082cee,-0.49989085608187434,-5.8112655,-0.2818363,-0.6198911,-9.555869,-9.407869,-2.3641522,-3.8611984,-5.0029507,-0.43928957,-0.5337802,-1.8242686,-2.3641522,-0.5000961409418725,-5.617199,-0.087770164,-0.62009656,-7.0305886,-6.9951115,-2.3331566,-3.1922312,-4.4800625,-0.3607049,-0.53441364,-1.8270738,-2.3331566,-0.8075448325892337,-5.9359665,-0.40653762,-0.9275504,-8.293134,-7.721425,-2.6628666,-3.4770892,-4.5477843,-0.6547918,-0.8437505,-2.1461158,-2.6628666,-0.08924511543044344,-4.390454,1.1389751,-0.20924522,-5.1135006,-5.2323284,-1.0351598,-1.6058685,-2.9074647,0.55072194,0.13071764,-0.66130847,-1.0351598,-0.2038903705369638,-4.8229256,0.70650345,-0.32389057,-6.756746,-6.250931,-1.329178,-1.9660892,-3.137117,0.30095723,-0.110796496,-1.0426822,-1.329178
pdac.096519334e5a25772e08825ec3231dd0dcd769334fc61db3df846c9ea00863c0,-0.8638033323932779,-5.644124,-0.2147785,-0.9838262,-9.824565,-8.5698185,-1.9276088,-2.342152,-4.056203,-0.33500445,-0.7650293,-1.6879356,-1.9276088,-0.8640805432690566,-5.415807,0.013538677,-0.9841074,-6.960392,-6.90979,-1.8093119,-2.1867213,-3.7677295,-0.23751713,-0.7019328,-1.5445206,-1.8093119,-1.6553283236477725,-5.767713,-0.3383676,-1.800863,-8.457301,-7.5261984,-2.0364683,-2.3164525,-4.058465,-0.56481373,-1.198978,-1.8967116,-2.0364683,-0.13275408970290564,-4.0545063,1.3748393,-0.25275427,-5.0445533,-5.148552,-0.71555334,-0.99794996,-2.0492034,0.9227795,0.18825884,-0.54779595,-0.71555334,-0.717802421708663,-4.5219455,0.9074,-0.837827,-6.996931,-6.2361536,-0.9283129,-1.1207727,-2.6704445,0.6237169,-0.20241599,-0.89733255,-0.9283129
pdac.0adeb4ed1da7f796ec306c6d29a44f1211598d012a8de5d546d57b0e4e1753ff,-3.011142704527448,-7.6856537,-2.4281583,-3.5464191,-11.1987705,-10.530287,-4.16205,-5.046359,-5.8404284,-2.935388,-3.2902865,-4.16205,-4.729557,-2.508163594330684,-6.7675395,-1.510044,-3.181356,-7.5623975,-7.4261765,-3.2690759,-4.152182,-5.2670164,-2.2492883,-2.572086,-3.2690759,-3.7228892,-2.4355816280146465,-6.974642,-1.7171464,-3.0360603,-9.572978,-8.49219,-3.4251728,-4.072104,-5.2256417,-2.2328987,-2.6581578,-3.4251728,-3.6753144,-0.8809395208039198,-4.925738,0.33175758,-1.0009681,-5.656683,-5.5192766,-1.5510793,-2.5217354,-3.404554,-0.40730458,-0.71368825,-1.5510793,-2.126358,-1.63983290955637,-5.616155,-0.35865957,-1.7804148,-8.316803,-7.3950295,-1.9271809,-2.6760745,-3.824388,-0.83353215,-1.223302,-1.9271809,-2.2254531
pdac.133402df608bd3b31be59fe1dc9a322c75e0fbf5a35342361c09d838c830c494,-0.34820074523822214,-5.4902387,0.039190512,-0.46820092,-8.404708,-7.4543495,-2.0337782,-3.0646424,-4.199041,-0.14642195,-0.28181773,-1.2608569,-2.0337782,-0.349019585347463,-5.140239,0.38919017,-0.46902007,-6.749633,-6.931389,-1.5358726,-2.193153,-3.1887834,0.14118022,-0.28249583,-1.2612615,-1.5358726,-0.3735194777823226,-5.2677627,0.26166627,-0.49351993,-7.39417,-6.952011,-1.7675905,-2.4156394,-3.3553832,0.03376778,-0.3044371,-1.2782897,-1.7675905,-0.04791840270683492,-3.653697,1.8757321,-0.1679186,-4.8315015,-5.1811757,-0.4371527,-0.62788373,-1.2438542,1.4564253,0.38838154,-0.3156365,-0.4371527,-0.1842950933825131,-3.998957,1.530472,-0.30429554,-5.727865,-5.2794676,-0.71494347,-0.9117243,-1.5809047,1.1497184,0.12780045,-0.6119416,-0.71494347
pdac.162eb74d1e59c2ab6abf238bf941550d55ba74aad47a1c403208edc49640549d,-1.2393259561877432,-5.723132,-0.1937033,-1.3602686,-9.457164,-8.424175,-1.6414062,-2.7892747,-4.107669,-0.3374617,-0.6988859,-1.3925542,-1.6414062,-1.1731143621924107,-5.4422445,0.087184235,-1.2937685,-7.1781693,-7.002569,-1.5870559,-2.3253803,-3.5587342,-0.15121555,-0.62550575,-1.3189704,-1.5870559,-0.8381663852155867,-5.4125385,0.11689044,-0.9582013,-8.200706,-7.475975,-1.6022809,-2.2207437,-3.5667315,-0.069164775,-0.5811002,-1.348588,-1.6022809,-0.2908825021681042,-4.0401855,1.4892435,-0.41088358,-5.2638497,-5.241431,-0.66066617,-0.87144107,-1.8748738,1.0756767,0.16076428,-0.5407982,-0.66066617,-0.21748920286898743,-4.1104074,1.4190215,-0.33748984,-6.694538,-5.876339,-0.4686921,-0.7468806,-2.0266986,1.1655464,0.2834135,-0.4125479,-0.4686921
pdac.165f0d5575dd788688c3dde762f3c6e7afc7e28ac6a26dbb1c6d6e4e49d9554c,-3.298905135722217,-8.22607,-2.6966412,-4.4379697,-10.7820425,-10.714905,-4.876435,-5.3025794,-6.209439,-3.2470782,-3.9725206,-4.699478,-4.876435,-2.53977306056667,-7.0694494,-1.5400207,-3.0804656,-7.962167,-7.688983,-3.9813159,-4.635841,-5.5973654,-2.373555,-2.793568,-3.6313424,-3.9813159,-2.5641105569648297,-7.300294,-1.7708652,-3.6568244,-9.077527,-8.842243,-3.913393,-4.4987445,-5.529459,-2.4177463,-3.045869,-3.742699,-3.913393,-1.5003145708942274,-5.332928,0.19650075,-1.6259415,-6.0554466,-5.712261,-2.6034284,-3.1111102,-3.6877224,-0.81693536,-1.3697673,-2.2414804,-2.6034284,-2.084382574952222,-6.0602865,-0.5308574,-2.693888,-7.780174,-7.3063374,-2.900152,-3.2901154,-4.146351,-1.2558593,-2.091527,-2.7892106,-2.900152
