endpoint_id,label
covid_nonspike.000996517bbba964ac966ebf5f2cf542bc112b538921ea93a447bed252163c6f,1
covid_nonspike.00f1440aeb73eefa4c41e76ecc4a3b005886364d7299396473bbe85d383ddfac,0
covid_nonspike.010f5b783be87677716e528edace50459924ebca4b48ce17e798b6a90be59eb9,1
covid_nonspike.01332c445677a5b89e4029656dbd1ac49d0d8b55e4d827f6c073cd46254166d1,1
covid_nonspike.015885a75db3342976e5c37271c9ebdaef1d9707a9632f699c4778b363ac4ef9,1
covid_nonspike.015ab6ee0f78363a26facae8c7050ff70e0deca84691d0625a984a6109c397b7,0
covid_nonspike.01cf0ea3033cfce98bb2e8a39356dd23ff069a7605422a7956b88f404f991640,1
covid_nonspike.01ec5a1a577713ac3b33e864ef715de8021da6007768dbbf6a08c593eb5c7f75,0
covid_nonspike.01f8077ab37ab2673c7acc1c9a00084eb061a762be9af4edcd0a58c67ce7530d,1
covid_nonspike.024e316579d2b3d76339844ac071bf786f77e308b61db13eb62916852a7a2336,1
covid_nonspike.025b3a678a03eace6662ba54d95415ee1a87eaa908a4add322a4d7a863d36990,0
covid_nonspike.0269986bb17fb381038dd105a1fb2ac7aa91f7d49994230a79e98d983fea96e4,1
covid_nonspike.027c436b766029738fd81b41f6860f2d216fd3ca6488fac79c63e826eecb7352,0
covid_nonspike.028a43fed2898ff061a9216d62f4068bc185c189051afe449ce2c304abf81166,0
covid_nonspike.0291b00c1475c61555385d9103b4a24e3e504cb604946d8dc10b0e51d5c6cc5d,0
covid_nonspike.02a1b94ff07bbc786fcf708abd0ae397cf0c6695b05f1d9dc9c9a909f4b85a49,0
covid_nonspike.02a5ab06ada5c1ddc1aee698d64ddba384d50820bc177a89c38315f27c27c423,0
covid_nonspike.02aef9cf1e715b52c6ed156b5360e98ebd72d2c06d6289ab619f653c3a93c910,1
covid_nonspike.02bab67482fc6f01cc90bf0cd00e11e96bb75778d20c9a35febd5331e0c871c9,0
covid_nonspike.02bd788af5de475fd108b054c5a50eb3ece0c576bf6f47041abe0cc215637e06,0
covid_nonspike.02cf394619e0154f1a8262b1fb54b3a67b45bf8fd8fb41cc794756a0f0b249e0,0
covid_nonspike.02f05c09c0b959930736a4a76af4dc3d51ebdfa02f095decdbebc4a0d1abb0ed,0
covid_nonspike.030076dbb6ae186cc4f2507c82c6ba79883b23311159897a5d70b59ef5ac26a2,0
covid_nonspike.033e31a80e30f9a68571c8e99c8ffa04decbc53a190cc7e05337fa6713a7c6b3,1
covid_nonspike.03476b1be8633031e266e9f92070ebb5de4d0faca4cc08080c5bf0a7b4db41c5,0
covid_nonspike.0354f4874fed46076adc4fa28c42319b26157d2716c91f02452da72e19ab09cb,0
covid_nonspike.03e4b9a59a76d9ce0c1b5888663503abd7b1e786674b059b9f08708e16c2d6d2,1
covid_nonspike.0414f3c7e64df625ebb6c1a1da1473e3d37efb4112692754f035e928f6c6f9e2,1
covid_nonspike.041c3d7093e44e86e98f517732526cacc183fd7394127df0aa774243a4215a70,0
covid_nonspike.042b729861db4c56dfd9c4c22c3d818d3f02a7c913718411d67682fbd13900f9,1
covid_nonspike.04333dd8d5c357fea2f2563ebe2ac9a4e069fd8b22f4768ff26d77f7923c58cf,0
covid_nonspike.0451e8d458b46da03df3f9116c04855c489097008bbdff48f89447210b47ec9e,1
covid_nonspike.0460852c3afec17ec3d537b410ea4e04d58f1168ae2aec223c9fe50048d68159,0
covid_nonspike.0464ef4f95ba45190e01ba1a2333a2fb2e064f6ca40c18c41aea7d3672187be2,0
covid_nonspike.04ae8700ccb4f1fd3b8545f9d660231de4b5a76a5cc56857d3967d0342deac55,1
covid_nonspike.04b96811ab05ce2a019171e0a25e10fe998b607b371d340e4d05f716341dd0d7,1
covid_nonspike.04cd92811d30031248fb34e18d0a7753e50d305d0a03ae36cc32981a21ec0e09,0
covid_nonspike.0509109478f26027d082a24588e5d21973d6543161f7a705a78fca26a4a9ded9,0
covid_nonspike.0523019663c0d59ce3f1f3491a40b13c511099e781bdedbdc3848d593d7720e9,1
covid_nonspike.0557350d5adc4b085a3061aa765121b0f237f23875c5b9ec1a6cbd6c18fb34bd,0
covid_nonspike.05a212fa0558bf513aad77854f8f69bc33230e7b26380c1a9398a546100cd2da,1
covid_nonspike.05b26b381e83f7473555ac5331ac42ab50414576491b67ae63f9bece9f921c66,1
covid_nonspike.05e2583908e9029149a46932a324f34c9cd54158f7f4685e6de93e3490e31c36,0
covid_nonspike.05e717147d1ff9dc8fb867f6033e29bfc12502a1e15f38498ae5930f7d4ef976,0
covid_nonspike.0611048e78113b50b607e3a72df18d2ce34b8f33cf8a8216ccc00dcfb8c01f48,0
covid_nonspike.064fc52fcad9f2665740ed5ee0ecf2137152aacea3ab20c2a53103cd46639a83,1
