endpoint_id,score_focal_hla__endpoint_local_epitope_second_hla_hybrid_v1,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__endpoint_local_epitope_second_hla_hybrid_v1,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__endpoint_local_epitope_second_hla_hybrid_v1,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__endpoint_local_epitope_second_hla_hybrid_v1,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__endpoint_local_epitope_second_hla_hybrid_v1,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3
covid_nonspike.000996517bbba964ac966ebf5f2cf542bc112b538921ea93a447bed252163c6f,-0.982701826029747,-5.5731134,-0.69031155,-1.102708,-8.614325,-7.707054,-2.3045878,-2.7475874,-3.8780148,-0.82351077,-1.016184,-2.3045878,-2.7475874,-0.9855861395741085,-5.2810936,-0.39829177,-1.1056018,-6.870642,-6.9016256,-1.8886461,-2.234406,-3.441409,-0.62246585,-0.9159236,-1.8886461,-2.234406,-0.9971720914010503,-5.329723,-0.44692093,-1.1171898,-7.500744,-6.920376,-1.8981738,-2.2600322,-3.4348736,-0.637144,-0.9267984,-1.8981738,-2.2600322,-0.1809996915423232,-3.7375553,1.1452467,-0.30099985,-4.960936,-5.125966,-0.4683473,-0.566636,-1.5695478,0.816804,0.2387376,-0.4683473,-0.566636,-0.17518059150204313,-3.8256707,1.0571312,-0.29518074,-5.5884733,-5.1916475,-0.46556783,-0.5838973,-1.6682454,0.7854505,0.24202554,-0.46556783,-0.5838973
covid_nonspike.00f1440aeb73eefa4c41e76ecc4a3b005886364d7299396473bbe85d383ddfac,-1.63373259495728,-5.9543276,-1.0715256,-1.7608768,-8.551195,-9.104938,-2.1722271,-2.5519543,-4.4206223,-1.1995653,-1.396759,-2.1722271,-2.5519543,-1.623676183288274,-5.597679,-0.7148772,-1.7552172,-6.9408474,-6.9604015,-2.1674914,-2.3317065,-3.9310334,-0.9677437,-1.391663,-2.1674914,-2.3317065,-1.6220612284700588,-5.644411,-0.76160884,-1.7536951,-7.3610153,-7.3874454,-2.1665556,-2.3160863,-3.8595831,-0.9555084,-1.390498,-2.1665556,-2.3160863,-0.48691479981701924,-4.028266,0.8545362,-0.60691804,-5.03277,-5.1887875,-0.78095305,-0.9004382,-2.267676,0.49639153,-0.072737634,-0.78095305,-0.9004382,-0.483951909569433,-4.0982094,0.78459245,-0.6039551,-5.45242,-5.250492,-0.78757906,-0.9042485,-2.257716,0.5025724,-0.07766687,-0.78757906,-0.9042485
covid_nonspike.010f5b783be87677716e528edace50459924ebca4b48ce17e798b6a90be59eb9,-0.6986022242975969,-5.3485675,-0.46576563,-0.8186035,-9.3228245,-9.284371,-1.7670082,-2.434388,-3.670229,-0.53164923,-0.67880106,-1.7670082,-2.434388,-0.6804678498872629,-5.0897956,-0.20699374,-0.8004696,-6.9474354,-7.0078964,-1.693401,-2.0255542,-3.187609,-0.3717842,-0.6454744,-1.693401,-2.0255542,-0.6497533399738978,-5.174796,-0.29199424,-0.76975435,-7.8854156,-7.623271,-1.7250327,-2.0870678,-3.3852546,-0.40838817,-0.6317348,-1.7250327,-2.0870678,-0.1340399753314973,-3.8325987,1.0502034,-0.2540401,-5.0230694,-5.198487,-0.59355754,-0.88695276,-1.6646248,0.7029863,0.1561513,-0.59355754,-0.88695276,-0.09788998483690575,-4.10865,0.7741519,-0.21789004,-5.959083,-5.626833,-0.68786556,-0.9491028,-2.0153203,0.5383389,0.111879036,-0.68786556,-0.9491028
covid_nonspike.01332c445677a5b89e4029656dbd1ac49d0d8b55e4d827f6c073cd46254166d1,-1.2733540497611417,-5.012172,-0.5348353,-1.2736473,-9.941388,-10.025635,-1.2736473,-1.3839958,-3.1081529,-0.56418085,-0.6847725,-1.3839958,-2.0908558,-1.148237390270804,-4.8881025,-0.41076562,-1.2684951,-7.0802774,-6.539594,-1.2684951,-1.3795769,-3.1005538,-0.5471017,-0.6802728,-1.3795769,-2.0837078,-1.0933798664066852,-4.885899,-0.40856233,-1.2135668,-8.684437,-8.624723,-1.2135668,-1.2796304,-2.97148,-0.45664445,-0.58430266,-1.2796304,-1.9707403,-0.5093090315495905,-3.9733753,0.5039616,-0.62931144,-5.5798163,-5.169041,-0.62931144,-0.7175638,-1.9646933,0.2496491,-0.020527432,-0.7175638,-1.2971804,-0.45339111873225535,-4.1300006,0.34733623,-0.57339275,-7.1839037,-7.176758,-0.57339275,-0.616717,-2.0673008,0.26241168,0.0773684,-0.616717,-1.1836094
covid_nonspike.015885a75db3342976e5c37271c9ebdaef1d9707a9632f699c4778b363ac4ef9,-3.798620470194444,-7.585575,-3.1082382,-5.7083282,-9.912583,-9.078344,-5.7083282,-5.7952833,-5.9204497,-3.7356982,-5.09836,-5.7952833,-5.838781,-3.5505957968625657,-6.6900434,-2.2127066,-5.708318,-7.0307956,-6.6157565,-5.708318,-5.7203116,-5.8391566,-3.6276476,-5.0270925,-5.7203116,-5.772077,-3.583159282412721,-7.2204456,-2.7431085,-5.708328,-8.689693,-7.857788,-5.708328,-5.7345037,-5.892997,-3.7192686,-5.041014,-5.7345037,-5.7984285,-2.631721630112989,-5.314771,-0.8374344,-4.612367,-5.5419793,-5.154397,-4.612367,-4.6242332,-4.7425566,-2.5219312,-3.931016,-4.6242332,-4.67591,-2.6300114796516976,-6.032931,-1.5555941,-4.610916,-7.200664,-6.581855,-4.610916,-4.6375256,-4.795,-2.6201568,-3.9440243,-4.6375256,-4.700547
covid_nonspike.015ab6ee0f78363a26facae8c7050ff70e0deca84691d0625a984a6109c397b7,-2.0551571558287103,-6.1295795,-1.2467773,-2.3620353,-8.194594,-7.639743,-2.8121223,-3.0684204,-4.029151,-1.562218,-2.0209317,-2.8121223,-3.0684204,-1.9322187727070088,-5.793868,-0.91106606,-2.1478388,-6.7508225,-6.711736,-2.5916662,-2.9086084,-3.876604,-1.3660413,-1.8031008,-2.5916662,-2.9086084,-1.8834924904672516,-5.8305497,-0.9477478,-2.0729551,-7.2513623,-6.954832,-2.5545053,-2.882202,-3.8835485,-1.3401438,-1.749635,-2.5545053,-2.882202,-0.7470467813336676,-4.077086,0.8057159,-0.86707276,-4.844403,-5.134096,-0.88296205,-1.2300428,-2.1540842,0.29509434,-0.18968864,-0.88296205,-1.2300428,-0.6718049653718052,-4.1402793,0.74252284,-0.791819,-5.3442345,-5.2049274,-0.84419405,-1.2020043,-2.151818,0.31174985,-0.14967592,-0.84419405,-1.2020043
covid_nonspike.01cf0ea3033cfce98bb2e8a39356dd23ff069a7605422a7956b88f404f991640,-2.9570047131270285,-7.439689,-2.5568871,-3.23806,-11.042396,-11.073971,-4.660557,-5.1836443,-5.856677,-2.8942091,-3.1815524,-4.660557,-5.1836443,-1.8415411599390148,-6.048093,-1.1652906,-1.9809266,-7.4196234,-6.937967,-2.6094434,-3.1520529,-4.67038,-1.5614433,-1.7305596,-2.6094434,-3.1520529,-2.8561641322540314,-7.119129,-2.2363272,-3.23755,-9.451577,-9.015534,-3.9094186,-4.6339636,-5.5961747,-2.7494454,-3.005749,-3.9094186,-4.6339636,-0.261452473856178,-4.288653,0.594149,-0.38145265,-5.5161448,-5.1080236,-1.0204129,-1.2808709,-2.7969015,0.15299146,-0.13567437,-1.0204129,-1.2808709,-1.5348016569796035,-5.5257115,-0.6429096,-1.6587331,-7.5480056,-7.067383,-2.3202734,-3.0226355,-3.9377074,-1.1520102,-1.422623,-2.3202734,-3.0226355
covid_nonspike.01ec5a1a577713ac3b33e864ef715de8021da6007768dbbf6a08c593eb5c7f75,-1.8680577398828886,-5.340044,-0.45724177,-2.1350713,-8.982501,-8.780533,-2.2723298,-2.3860595,-2.8880117,-0.6778963,-1.5697922,-2.2723298,-2.3860595,-1.4410858227271044,-4.590325,0.2924773,-1.5681108,-6.286316,-6.583584,-1.6424298,-1.77572,-2.2830696,-0.065023616,-0.9465236,-1.6424298,-1.77572,-1.4707888643748062,-4.8267484,0.056053605,-1.5988377,-7.581643,-7.369809,-1.8146453,-1.9589722,-2.4920568,-0.26429293,-1.0983901,-1.8146453,-1.9589722,-0.14874944426772368,-3.0061362,1.8766658,-0.26874983,-4.3752327,-4.890239,-0.38827288,-0.4702365,-0.79449546,1.3976951,0.31200024,-0.38827288,-0.4702365,-0.41788940626871307,-3.3618436,1.5209584,-0.5378927,-5.670306,-5.6371717,-0.73107004,-0.8109985,-1.142091,1.063059,-0.019379001,-0.73107004,-0.8109985
covid_nonspike.01f8077ab37ab2673c7acc1c9a00084eb061a762be9af4edcd0a58c67ce7530d,-6.173383007651613,-10.003012,-5.120209,-6.829428,-11.631398,-11.028295,-7.099497,-7.6628494,-8.345495,-5.8732023,-6.370316,-7.099497,-7.6628494,-5.09281502140332,-8.381372,-3.4985704,-5.870207,-8.9190855,-8.70536,-6.1481524,-6.5050645,-7.054414,-4.709342,-5.416866,-6.1481524,-6.5050645,-4.293064675878317,-8.231356,-3.3485541,-4.886519,-9.83265,-9.475733,-5.169561,-5.7093134,-6.5821767,-4.0326605,-4.436881,-5.169561,-5.7093134,-2.7150805208558353,-6.406039,-1.5232375,-3.377779,-7.013686,-6.8182893,-3.6333828,-4.0909905,-4.9689507,-2.47102,-2.9079185,-3.6333828,-4.0909905,-2.0497151010385193,-5.9677734,-1.0849717,-2.3940315,-7.9272475,-7.654016,-2.6547313,-3.1749537,-4.0409966,-1.518507,-1.92798,-2.6547313,-3.1749537
covid_nonspike.024e316579d2b3d76339844ac071bf786f77e308b61db13eb62916852a7a2336,-0.3213108391576365,-3.594409,0.88292783,-0.44131196,-7.9226527,-7.101081,-0.44131196,-0.4786467,-0.9452028,0.8553909,0.21519727,-0.4786467,-0.5633577,-0.3219334842929587,-3.5262108,0.95112604,-0.44193465,-6.043897,-6.3264227,-0.44193465,-0.48154032,-0.94632614,0.89433604,0.21239096,-0.48154032,-0.5654573,-0.35229050574986254,-3.5951023,0.8822346,-0.47229195,-7.0138035,-6.6416874,-0.47229195,-0.50973076,-0.95871854,0.8417369,0.1841171,-0.50973076,-0.5849138,-0.051695083505911066,-2.855412,1.621925,-0.17169528,-4.485988,-5.0831847,-0.17169528,-0.19062793,-0.32823935,1.4699959,0.5026985,-0.19062793,-0.2017444,-0.0471539960841848,-3.0406032,1.4367337,-0.16715416,-5.452986,-5.254265,-0.16715416,-0.18380082,-0.39873287,1.3428596,0.5094849,-0.18380082,-0.19609112
