dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_NONSPIKE,nci_best_pr,2,max,0.5450037903913579,0.47230591700790586,1607,692
COVID_NONSPIKE,nci_best_pr,2,mean,0.5286600966549796,0.44558970894926797,1607,692
COVID_NONSPIKE,nci_best_pr,2,median,0.5326123693104646,0.4580525917227491,1607,692
COVID_NONSPIKE,nci_best_pr,2,logsumexp,0.5418427619318361,0.462331084831163,1607,692
COVID_NONSPIKE,nci_best_pr,2,logmeanexp,0.5445607884014024,0.4674103829746747,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_frac_mean_frac0p01,0.5453109700243217,0.4720610205932219,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_frac_mean_frac0p02,0.5423197195110395,0.4682652677609104,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_frac_mean_frac0p05,0.5382039862282447,0.4598157062267744,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_mean_k2,0.5391105214946776,0.4608537094950773,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_mean_k3,0.5382774250608042,0.46176118140041206,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_logsumexp_k2,0.5437253229729303,0.4664075682538308,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_logsumexp_k10,0.5423670994030133,0.4632873940481292,1607,692
COVID_NONSPIKE,nci_best_pr,2,endpoint_local_epitope_second_hla_hybrid_v1,0.548008465207366,0.47293902265594967,1607,692
