dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_NONSPIKE,nci_best_pr,2,max,0.5486086105057014,0.474801282576271,1607,692
COVID_NONSPIKE,nci_best_pr,2,mean,0.5299898922897123,0.44604219641269016,1607,692
COVID_NONSPIKE,nci_best_pr,2,median,0.5345857418111754,0.4649975988532004,1607,692
COVID_NONSPIKE,nci_best_pr,2,logsumexp,0.5394406014087622,0.4587500501803248,1607,692
COVID_NONSPIKE,nci_best_pr,2,logmeanexp,0.5434513092643483,0.4638511770501327,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_frac_mean_frac0p01,0.5473854196279099,0.4728327500480661,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_frac_mean_frac0p02,0.5420085915537446,0.4677902044146563,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_frac_mean_frac0p05,0.5337471177232382,0.45641011251227886,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_mean_k2,0.5399878391610601,0.4614654704726411,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_mean_k3,0.5371584699453552,0.4616080147269777,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_logsumexp_k2,0.5451538267159417,0.4669327645219716,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_logsumexp_k10,0.5396474936037146,0.4605666773362003,1607,692
COVID_NONSPIKE,nci_best_pr,2,endpoint_local_epitope_second_hla_hybrid_v1,0.5509570738178717,0.47524807680156156,1607,692
