dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_NONSPIKE,nci_best_pr,0,max,0.5361200606462617,0.46293154350347215,1607,692
COVID_NONSPIKE,nci_best_pr,0,mean,0.5264206070943491,0.43788342536212127,1607,692
COVID_NONSPIKE,nci_best_pr,0,median,0.5224470134874759,0.4365722705646139,1607,692
COVID_NONSPIKE,nci_best_pr,0,logsumexp,0.5228844878233677,0.44135255046133814,1607,692
COVID_NONSPIKE,nci_best_pr,0,logmeanexp,0.5274440127609843,0.4448100411943923,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_frac_mean_frac0p01,0.5352095770554977,0.45954474327985445,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_frac_mean_frac0p02,0.531439716984112,0.4541760256360367,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_frac_mean_frac0p05,0.5249502511134274,0.4450763862303402,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_k_mean_k2,0.5268114912031334,0.4480713114287514,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_k_mean_k3,0.5257912441959632,0.44859574361811205,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_k_logsumexp_k2,0.5290478221042989,0.449491831540593,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_k_logsumexp_k10,0.523532013013677,0.4423061976248376,1607,692
COVID_NONSPIKE,nci_best_pr,0,endpoint_local_epitope_second_hla_hybrid_v1,0.537055023847879,0.46311594295293823,1607,692
