dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_NONSPIKE,nci_best_roc,1,max,0.5390528759594428,0.4650712096712155,1607,692
COVID_NONSPIKE,nci_best_roc,1,mean,0.5265674847594681,0.43733282779509564,1607,692
COVID_NONSPIKE,nci_best_roc,1,median,0.5209474399065037,0.4360912513295319,1607,692
COVID_NONSPIKE,nci_best_roc,1,logsumexp,0.5228465839097887,0.44062049105442297,1607,692
COVID_NONSPIKE,nci_best_roc,1,logmeanexp,0.5274598060583089,0.44506626082097034,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_frac_mean_frac0p01,0.5344080672162734,0.45986584355839527,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_frac_mean_frac0p02,0.5299796266464513,0.4527168606049582,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_frac_mean_frac0p05,0.524599639912821,0.44445710927902266,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_k_mean_k2,0.5246517577939922,0.4463056922015729,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_k_mean_k3,0.5247828421617865,0.44823358216084536,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_k_logsumexp_k2,0.527925708329385,0.4481325944261771,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_k_logsumexp_k10,0.5226910199311412,0.4422120853248343,1607,692
COVID_NONSPIKE,nci_best_roc,1,endpoint_local_epitope_second_hla_hybrid_v1,0.5393095170409679,0.4650642910755887,1607,692
