dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_SPIKE,nci_best_roc,2,max,0.47335104519942933,0.63714051868703,1765,1159
COVID_SPIKE,nci_best_roc,2,mean,0.4735496629904578,0.643447423000187,1765,1159
COVID_SPIKE,nci_best_roc,2,median,0.45472297445447735,0.62806312556193,1765,1159
COVID_SPIKE,nci_best_roc,2,logsumexp,0.46739607092719626,0.6316793259755269,1765,1159
COVID_SPIKE,nci_best_roc,2,logmeanexp,0.4748837480814518,0.6365261084371857,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p01,0.4755757068372929,0.640801303460426,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p02,0.4725038940477309,0.6383691690967187,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p05,0.47499337940696573,0.6390031630442555,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_mean_k2,0.46535009411208594,0.632720616895635,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_mean_k3,0.46503899742864707,0.6323355355516342,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_logsumexp_k2,0.470539784780894,0.6353636686035957,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_logsumexp_k10,0.47111499329397993,0.6334495621120358,1765,1159
COVID_SPIKE,nci_best_roc,2,endpoint_local_epitope_second_hla_hybrid_v1,0.4741391093380261,0.6363221176343153,1765,1159
