dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_SPIKE,nci_best_roc,2,max,0.4744523416966373,0.6380746053276064,1765,1159
COVID_SPIKE,nci_best_roc,2,mean,0.47600711322210737,0.6481548104927639,1765,1159
COVID_SPIKE,nci_best_roc,2,median,0.47107512735742946,0.6529499893520029,1765,1159
COVID_SPIKE,nci_best_roc,2,logsumexp,0.46806809671476207,0.6301041697881996,1765,1159
COVID_SPIKE,nci_best_roc,2,logmeanexp,0.47809010840687177,0.638472704448754,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p01,0.4755472311683282,0.6404033708794775,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p02,0.4707469452726118,0.6371470468034668,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p05,0.47375967104907213,0.6390598965750397,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_mean_k2,0.46771998166166917,0.6341236872074864,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_mean_k3,0.4659452355934472,0.6311150820032644,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_logsumexp_k2,0.47132927270293895,0.6355804700528843,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_logsumexp_k10,0.470754064189853,0.6320051053020797,1765,1159
COVID_SPIKE,nci_best_roc,2,endpoint_local_epitope_second_hla_hybrid_v1,0.47723156698758745,0.6382176256301565,1765,1159
