dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_SPIKE,nci_best_roc,2,max,0.4760419959165891,0.6407800401461743,1765,1159
COVID_SPIKE,nci_best_roc,2,mean,0.46881273545818775,0.6412415244326127,1765,1159
COVID_SPIKE,nci_best_roc,2,median,0.45090794670493795,0.6295525445147448,1765,1159
COVID_SPIKE,nci_best_roc,2,logsumexp,0.46804816374648683,0.6316670295561614,1765,1159
COVID_SPIKE,nci_best_roc,2,logmeanexp,0.4762149856055493,0.638105255068612,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p01,0.476971726508285,0.64240996475419,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p02,0.4729032653049602,0.6391651260320727,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p05,0.47195217796154076,0.6394214058899297,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_mean_k2,0.4676174692533964,0.6355779683683692,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_mean_k3,0.46576939833759046,0.6333531385103036,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_logsumexp_k2,0.4724640281111804,0.6380821949765708,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_logsumexp_k10,0.47167311640568715,0.6332519530563776,1765,1159
COVID_SPIKE,nci_best_roc,2,endpoint_local_epitope_second_hla_hybrid_v1,0.4782766240385902,0.6405898686645934,1765,1159
