dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_SPIKE,nci_best_roc,1,max,0.4677897470506326,0.6345316479890953,1765,1159
COVID_SPIKE,nci_best_roc,1,mean,0.4517728951497393,0.6288309861583034,1765,1159
COVID_SPIKE,nci_best_roc,1,median,0.4488655293484482,0.629075634269888,1765,1159
COVID_SPIKE,nci_best_roc,1,logsumexp,0.45432573887242045,0.6206664830065934,1765,1159
COVID_SPIKE,nci_best_roc,1,logmeanexp,0.46045085526671736,0.6272919248839806,1765,1159
COVID_SPIKE,nci_best_roc,1,top_frac_mean_frac0p01,0.4659950680141353,0.6342051815913544,1765,1159
COVID_SPIKE,nci_best_roc,1,top_frac_mean_frac0p02,0.4607818849184315,0.6296135835387626,1765,1159
COVID_SPIKE,nci_best_roc,1,top_frac_mean_frac0p05,0.4577841088681776,0.6289733689851392,1765,1159
COVID_SPIKE,nci_best_roc,1,top_k_mean_k2,0.45962078951639773,0.6305711566661586,1765,1159
COVID_SPIKE,nci_best_roc,1,top_k_mean_k3,0.4545286280137936,0.6230133921483288,1765,1159
COVID_SPIKE,nci_best_roc,1,top_k_logsumexp_k2,0.4626420579935474,0.6319253335875218,1765,1159
COVID_SPIKE,nci_best_roc,1,top_k_logsumexp_k10,0.4586426502874619,0.6235224384492728,1765,1159
COVID_SPIKE,nci_best_roc,1,endpoint_local_epitope_second_hla_hybrid_v1,0.4705419204560663,0.6345746896758233,1765,1159
