dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_pr,2,max,0.7035573122529645,0.2351398722287199,221,23
PDAC,nci_best_pr,2,mean,0.6903820816864296,0.15979380320730624,221,23
PDAC,nci_best_pr,2,median,0.7244180939833114,0.1991764061594684,221,23
PDAC,nci_best_pr,2,logsumexp,0.7024593763724198,0.18593731747305184,221,23
PDAC,nci_best_pr,2,logmeanexp,0.7009222661396575,0.19821240361515596,221,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p01,0.6998243302591128,0.22132150821019228,221,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p02,0.6728151075977163,0.17517085128011356,221,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p05,0.678963548528766,0.16665306427133522,221,23
PDAC,nci_best_pr,2,top_k_mean_k2,0.7007026789635485,0.20336172860350313,221,23
PDAC,nci_best_pr,2,top_k_mean_k3,0.7026789635485288,0.2133693679610739,221,23
PDAC,nci_best_pr,2,top_k_logsumexp_k2,0.7070707070707071,0.21102804088589164,221,23
PDAC,nci_best_pr,2,top_k_logsumexp_k10,0.6982872200263505,0.18827576443954241,221,23
PDAC,nci_best_pr,2,endpoint_local_epitope_second_hla_hybrid_v1,0.7079490557751428,0.23790587921621267,221,23
