dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_roc,2,max,0.6870882740447958,0.2164696503622094,221,23
PDAC,nci_best_roc,2,mean,0.6802810715854194,0.15278804888387124,221,23
PDAC,nci_best_roc,2,median,0.6912604303908652,0.16687124264527725,221,23
PDAC,nci_best_roc,2,logsumexp,0.6927975406236275,0.17788542040714117,221,23
PDAC,nci_best_roc,2,logmeanexp,0.6886253842775582,0.1774200204211979,221,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p01,0.6673254281949934,0.1943306955729633,221,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p02,0.6627140974967062,0.1737682300428682,221,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p05,0.6693017127799736,0.16601452607620895,221,23
PDAC,nci_best_roc,2,top_k_mean_k2,0.6714975845410628,0.17344081943337555,221,23
PDAC,nci_best_roc,2,top_k_mean_k3,0.6732542819499341,0.1944036065614845,221,23
PDAC,nci_best_roc,2,top_k_logsumexp_k2,0.6884057971014492,0.18369796293129947,221,23
PDAC,nci_best_roc,2,top_k_logsumexp_k10,0.6855511638120334,0.17975899728776973,221,23
PDAC,nci_best_roc,2,endpoint_local_epitope_second_hla_hybrid_v1,0.6886253842775582,0.21813956227416464,221,23
