dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_pr,2,max,0.7189284145805885,0.2378874435797605,221,23
PDAC,nci_best_pr,2,mean,0.7270531400966184,0.17347642428474724,221,23
PDAC,nci_best_pr,2,median,0.6332894158981115,0.13733302559191746,221,23
PDAC,nci_best_pr,2,logsumexp,0.6745718050065876,0.15202296251691305,221,23
PDAC,nci_best_pr,2,logmeanexp,0.6752305665349143,0.16381121930367784,221,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p01,0.6910408432147562,0.21231263394482186,221,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p02,0.6688625384277558,0.20224886711473974,221,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p05,0.6537110232762406,0.16024472033341036,221,23
PDAC,nci_best_pr,2,top_k_mean_k2,0.6892841458058849,0.1969078894483406,221,23
PDAC,nci_best_pr,2,top_k_mean_k3,0.691699604743083,0.20627754796448636,221,23
PDAC,nci_best_pr,2,top_k_logsumexp_k2,0.6947738252086079,0.1939200710392807,221,23
PDAC,nci_best_pr,2,top_k_logsumexp_k10,0.66600790513834,0.1602235689650893,221,23
PDAC,nci_best_pr,2,endpoint_local_epitope_second_hla_hybrid_v1,0.7189284145805885,0.2378874435797605,221,23
