dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_pr,0,max,0.6365832235397453,0.18946922453492754,221,23
PDAC,nci_best_pr,0,mean,0.7167325428194994,0.17300606031949006,221,23
PDAC,nci_best_pr,0,median,0.7336407553798858,0.18485523999378656,221,23
PDAC,nci_best_pr,0,logsumexp,0.6750109793588055,0.15476373596699375,221,23
PDAC,nci_best_pr,0,logmeanexp,0.6765480895915679,0.16600822652620734,221,23
PDAC,nci_best_pr,0,top_frac_mean_frac0p01,0.6545893719806763,0.17405109964865517,221,23
PDAC,nci_best_pr,0,top_frac_mean_frac0p02,0.6548089591567853,0.19157071481782953,221,23
PDAC,nci_best_pr,0,top_frac_mean_frac0p05,0.660518225735617,0.16138118413383562,221,23
PDAC,nci_best_pr,0,top_k_mean_k2,0.6405357927097057,0.15788658960276192,221,23
PDAC,nci_best_pr,0,top_k_mean_k3,0.660518225735617,0.17280900860161447,221,23
PDAC,nci_best_pr,0,top_k_logsumexp_k2,0.6416337285902504,0.1581787182058781,221,23
PDAC,nci_best_pr,0,top_k_logsumexp_k10,0.6541501976284585,0.15526672510135756,221,23
PDAC,nci_best_pr,0,endpoint_local_epitope_second_hla_hybrid_v1,0.6365832235397453,0.18946922453492754,221,23
