dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_roc,1,max,0.6690821256038647,0.21496037479082983,221,23
PDAC,nci_best_roc,1,mean,0.7083882301273605,0.1657944234274881,221,23
PDAC,nci_best_roc,1,median,0.7261747913921827,0.17751409762820547,221,23
PDAC,nci_best_roc,1,logsumexp,0.6778656126482213,0.1557375249814682,221,23
PDAC,nci_best_roc,1,logmeanexp,0.6796223100570926,0.16649688175157856,221,23
PDAC,nci_best_roc,1,top_frac_mean_frac0p01,0.665788317962231,0.19919912356358876,221,23
PDAC,nci_best_roc,1,top_frac_mean_frac0p02,0.6651295564339043,0.18268114994674287,221,23
PDAC,nci_best_roc,1,top_frac_mean_frac0p05,0.6635924462011419,0.16404610935919645,221,23
PDAC,nci_best_roc,1,top_k_mean_k2,0.650197628458498,0.17611344319476477,221,23
PDAC,nci_best_roc,1,top_k_mean_k3,0.6723759332454985,0.19782243666247748,221,23
PDAC,nci_best_roc,1,top_k_logsumexp_k2,0.6570048309178744,0.17770783006040436,221,23
PDAC,nci_best_roc,1,top_k_logsumexp_k10,0.6609574000878349,0.15862544884049332,221,23
PDAC,nci_best_roc,1,endpoint_local_epitope_second_hla_hybrid_v1,0.6690821256038647,0.21496037479082983,221,23
