dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_roc,2,max,0.6201804757998359,0.41724240146028185,76,23
PDAC,nci_best_roc,2,mean,0.5438884331419196,0.32164230441498476,76,23
PDAC,nci_best_roc,2,median,0.5430680885972108,0.352690375135922,76,23
PDAC,nci_best_roc,2,logsumexp,0.6324856439704676,0.3981358731073486,76,23
PDAC,nci_best_roc,2,logmeanexp,0.5849056603773585,0.41592252294975907,76,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p01,0.6201804757998359,0.41724240146028185,76,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p02,0.6201804757998359,0.41724240146028185,76,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p05,0.6021328958162429,0.416266413695973,76,23
PDAC,nci_best_roc,2,top_k_mean_k2,0.6751435602953241,0.4658380130816456,76,23
PDAC,nci_best_roc,2,top_k_mean_k3,0.6357670221493027,0.39161518745863316,76,23
PDAC,nci_best_roc,2,top_k_logsumexp_k2,0.6480721903199343,0.4552139787841236,76,23
PDAC,nci_best_roc,2,top_k_logsumexp_k10,0.6316652994257588,0.39782035597476834,76,23
PDAC,nci_best_roc,2,endpoint_local_epitope_second_hla_hybrid_v1,0.623461853978671,0.4183526338965958,76,23
