dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_roc,2,max,0.6365873666940115,0.4260632733104009,76,23
PDAC,nci_best_roc,2,mean,0.4495488105004102,0.27251580634597256,76,23
PDAC,nci_best_roc,2,median,0.51681706316653,0.30086557964918054,76,23
PDAC,nci_best_roc,2,logsumexp,0.6226415094339622,0.3845560856299894,76,23
PDAC,nci_best_roc,2,logmeanexp,0.55701394585726,0.3931294667931254,76,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p01,0.6365873666940115,0.4260632733104009,76,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p02,0.6365873666940115,0.4260632733104009,76,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p05,0.6242821985233798,0.4295135279349346,76,23
PDAC,nci_best_roc,2,top_k_mean_k2,0.6595570139458573,0.4675902243585319,76,23
PDAC,nci_best_roc,2,top_k_mean_k3,0.6078753076292043,0.371609792908248,76,23
PDAC,nci_best_roc,2,top_k_logsumexp_k2,0.6505332239540607,0.4602740348448325,76,23
PDAC,nci_best_roc,2,top_k_logsumexp_k10,0.6226415094339622,0.38648985063713776,76,23
PDAC,nci_best_roc,2,endpoint_local_epitope_second_hla_hybrid_v1,0.6431501230516817,0.4355877291843868,76,23
