dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_pr,2,max,0.6103363412633306,0.399775929630775,76,23
PDAC,nci_best_pr,2,mean,0.5291222313371616,0.30650238358126797,76,23
PDAC,nci_best_pr,2,median,0.5258408531583265,0.3054630260305285,76,23
PDAC,nci_best_pr,2,logsumexp,0.5963904840032814,0.37937404306198824,76,23
PDAC,nci_best_pr,2,logmeanexp,0.5340442986054142,0.38008034809392394,76,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p01,0.6103363412633306,0.399775929630775,76,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p02,0.6103363412633306,0.399775929630775,76,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p05,0.6070549630844955,0.40480101365347654,76,23
PDAC,nci_best_pr,2,top_k_mean_k2,0.6357670221493027,0.45374633128858927,76,23
PDAC,nci_best_pr,2,top_k_mean_k3,0.6037735849056604,0.37926961001222825,76,23
PDAC,nci_best_pr,2,top_k_logsumexp_k2,0.6406890894175554,0.4450217019413397,76,23
PDAC,nci_best_pr,2,top_k_logsumexp_k10,0.5972108285479901,0.38502671911630554,76,23
PDAC,nci_best_pr,2,endpoint_local_epitope_second_hla_hybrid_v1,0.616078753076292,0.40469108161163253,76,23
