dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_roc,2,max,0.616078753076292,0.419660678453283,76,23
PDAC,nci_best_roc,2,mean,0.4741591468416735,0.2827223267988649,76,23
PDAC,nci_best_roc,2,median,0.48482362592288764,0.28407571384875435,76,23
PDAC,nci_best_roc,2,logsumexp,0.5676784249384742,0.3341584986863118,76,23
PDAC,nci_best_roc,2,logmeanexp,0.4716981132075472,0.368924366463571,76,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p01,0.616078753076292,0.419660678453283,76,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p02,0.616078753076292,0.419660678453283,76,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p05,0.5931091058244463,0.42397622485050585,76,23
PDAC,nci_best_roc,2,top_k_mean_k2,0.6127973748974569,0.4055468690882356,76,23
PDAC,nci_best_roc,2,top_k_mean_k3,0.5824446267432322,0.3603404706464208,76,23
PDAC,nci_best_roc,2,top_k_logsumexp_k2,0.6119770303527482,0.41030616360941663,76,23
PDAC,nci_best_roc,2,top_k_logsumexp_k10,0.5578342904019689,0.3298595163327517,76,23
PDAC,nci_best_roc,2,endpoint_local_epitope_second_hla_hybrid_v1,0.6177194421657096,0.4200465553585502,76,23
