dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_pr,0,max,0.5422477440525021,0.3614460052957694,76,23
PDAC,nci_best_pr,0,mean,0.5471698113207547,0.3225019455967263,76,23
PDAC,nci_best_pr,0,median,0.5266611977030353,0.31826954612216496,76,23
PDAC,nci_best_pr,0,logsumexp,0.5529122231337161,0.32673483795286273,76,23
PDAC,nci_best_pr,0,logmeanexp,0.47333880229696473,0.3047203519823041,76,23
PDAC,nci_best_pr,0,top_frac_mean_frac0p01,0.5422477440525021,0.3614460052957694,76,23
PDAC,nci_best_pr,0,top_frac_mean_frac0p02,0.5422477440525021,0.3614460052957694,76,23
PDAC,nci_best_pr,0,top_frac_mean_frac0p05,0.5471698113207547,0.37798448918110983,76,23
PDAC,nci_best_pr,0,top_k_mean_k2,0.5914684167350287,0.37633771493721857,76,23
PDAC,nci_best_pr,0,top_k_mean_k3,0.561115668580804,0.3410485325334251,76,23
PDAC,nci_best_pr,0,top_k_logsumexp_k2,0.5840853158326497,0.374481792816333,76,23
PDAC,nci_best_pr,0,top_k_logsumexp_k10,0.5537325676784249,0.32732365248185563,76,23
PDAC,nci_best_pr,0,endpoint_local_epitope_second_hla_hybrid_v1,0.5447087776866284,0.3631839169502981,76,23
