dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_roc,1,max,0.5775225594749795,0.396522480244619,76,23
PDAC,nci_best_roc,1,mean,0.5406070549630845,0.3122759796199775,76,23
PDAC,nci_best_roc,1,median,0.5086136177194421,0.2955987475250494,76,23
PDAC,nci_best_roc,1,logsumexp,0.5586546349466776,0.3441480450698319,76,23
PDAC,nci_best_roc,1,logmeanexp,0.4831829368334701,0.30624233567629033,76,23
PDAC,nci_best_roc,1,top_frac_mean_frac0p01,0.5775225594749795,0.396522480244619,76,23
PDAC,nci_best_roc,1,top_frac_mean_frac0p02,0.5775225594749795,0.396522480244619,76,23
PDAC,nci_best_roc,1,top_frac_mean_frac0p05,0.5775225594749795,0.4136800439400196,76,23
PDAC,nci_best_roc,1,top_k_mean_k2,0.601312551271534,0.40939806104259124,76,23
PDAC,nci_best_roc,1,top_k_mean_k3,0.5676784249384742,0.3472944686446247,76,23
PDAC,nci_best_roc,1,top_k_logsumexp_k2,0.6045939294503692,0.4136848318657936,76,23
PDAC,nci_best_roc,1,top_k_logsumexp_k10,0.5545529122231337,0.3355786660757341,76,23
PDAC,nci_best_roc,1,endpoint_local_epitope_second_hla_hybrid_v1,0.5840853158326497,0.4045376436850688,76,23
