task_id,source_variant_column,n_endpoints,n_positive,n_patients,n_unique_candidates,n_scoreable_candidates,n_floor_candidates,n_exact_duplicates_removed,max_reconstruction_max_abs_error,logsumexp_reconstruction_max_abs_error
covid_nonspike__focal_hla__pr,l2_variant,1607,692,13,199124,5553,193571,0,0.00000011592854676223396,0.0000012498638675140228
covid_nonspike__focal_hla__roc,l2_variant,1607,692,13,199124,5553,193571,0,0.00000011592854676223396,0.0000012498638675140228
covid_nonspike__full_hla__pr,l2_variant,1607,692,13,199124,5553,193571,0,0.00000011592854676223396,0.0000012498638675140228
covid_nonspike__full_hla__roc,l2_variant,1607,692,13,199124,5553,193571,0,0.00000011592854676223396,0.0000012498638675140228
covid_nonspike__full_q_mono_pn__pr,l2_variant,1607,692,13,199124,5553,193571,0,0.00000011592854676223396,0.0000012498638675140228
covid_nonspike__full_q_mono_pn__roc,l2_variant,1607,692,13,199124,5553,193571,0,0.00000011592854676223396,0.0000012498638675140228
covid_nonspike__mono_q_full_pn__pr,l2_variant,1607,692,13,199124,5553,193571,0,0.00000011592854676223396,0.0000012498638675140228
covid_nonspike__mono_q_full_pn__roc,l2_variant,1607,692,13,199124,5553,193571,0,0.00000011592854676223396,0.0000012498638675140228
covid_nonspike__old_monoallelic__pr,l2_variant,1607,692,13,199124,5553,193571,0,0.00000011592854676223396,0.0000012498638675140228
covid_nonspike__old_monoallelic__roc,l2_variant,1607,692,13,199124,5553,193571,0,0.00000011592854676223396,0.0000012498638675140228
covid_spike__focal_hla__pr,l2_variant,1765,1159,12,137175,3658,133517,0,0.00000011592854676223396,0.0000019674311246831166
covid_spike__focal_hla__roc,l2_variant,1765,1159,12,137175,3658,133517,0,0.00000011592854676223396,0.0000019674311246831166
covid_spike__full_hla__pr,l2_variant,1765,1159,12,137175,3658,133517,0,0.00000011592854676223396,0.0000019674311246831166
covid_spike__full_hla__roc,l2_variant,1765,1159,12,137175,3658,133517,0,0.00000011592854676223396,0.0000019674311246831166
covid_spike__full_q_mono_pn__pr,l2_variant,1765,1159,12,137175,3658,133517,0,0.00000011592854676223396,0.0000019674311246831166
covid_spike__full_q_mono_pn__roc,l2_variant,1765,1159,12,137175,3658,133517,0,0.00000011592854676223396,0.0000019674311246831166
covid_spike__mono_q_full_pn__pr,l2_variant,1765,1159,12,137175,3658,133517,0,0.00000011592854676223396,0.0000019674311246831166
covid_spike__mono_q_full_pn__roc,l2_variant,1765,1159,12,137175,3658,133517,0,0.00000011592854676223396,0.0000019674311246831166
covid_spike__old_monoallelic__pr,l2_variant,1765,1159,12,137175,3658,133517,0,0.00000011592854676223396,0.0000019674311246831166
covid_spike__old_monoallelic__roc,l2_variant,1765,1159,12,137175,3658,133517,0,0.00000011592854676223396,0.0000019674311246831166
pdac__focal_hla__pr,l2_variant,213,23,16,9315,2309,7006,0,0.0,0.00000027196656660066765
pdac__focal_hla__roc,l2_variant,213,23,16,9315,2309,7006,0,0.0,0.00000027196656660066765
pdac__full_hla__pr,l2_variant,213,23,16,9315,2309,7006,0,0.0,0.0000003371767141047144
pdac__full_hla__roc,l2_variant,213,23,16,9315,2309,7006,0,0.0,0.0000003371767141047144
pdac__full_q_mono_pn__pr,l2_variant,213,23,16,9315,2309,7006,0,0.0,0.00000035355301797324046
pdac__full_q_mono_pn__roc,l2_variant,213,23,16,9315,2309,7006,0,0.0,0.00000035355301797324046
pdac__mono_q_full_pn__pr,l2_variant,213,23,16,9315,2309,7006,0,0.0,0.0000001724953837545229
pdac__mono_q_full_pn__roc,l2_variant,213,23,16,9315,2309,7006,0,0.0,0.0000001724953837545229
pdac__old_monoallelic__pr,l2_variant,213,23,16,9315,2309,7006,0,0.0,0.00000020564667435607475
pdac__old_monoallelic__roc,l2_variant,213,23,16,9315,2309,7006,0,0.0,0.0000002688295968056309
