model,branch,held_out_cohort,q_order,q_id,q,joint_grid_index,grid_index,c,kappa,training_mean_fractional_rank,training_worst_cohort_fractional_rank,training_mean_metric_regret,held_out_metric,held_out_fractional_rank,held_out_regret
focal_hla,pr,covid_nonspike,0,q0,0.0,25666,25666,-0.65,0.00041337796243778044,0.10773729150509993,0.1241954468689843,0.0027202504011939743,0.5759505454528149,0.03885868602449385,0.0027399236625048617
focal_hla,pr,covid_spike,0,q0,0.0,25488,25488,-0.75,0.038784548949737194,0.02997366380209666,0.04416135546781197,0.003048126690100697,0.6597912010137751,0.24557225133157234,0.002206139406888852
focal_hla,pr,pdac,0,q0,0.0,28106,28106,0.4,0.2340805616340463,0.005688461281065101,0.01108561035811718,0.0009016569030502186,0.18244619571611123,0.8848037382441747,0.0683166895129568
full_hla,pr,covid_nonspike,0,q0,0.0,25654,25654,-0.65,0.00013282183136484435,0.04365451159934337,0.04827515618664452,0.002895496970617098,0.5843328962148191,0.0530995224841845,0.004317943364879673
full_hla,pr,covid_spike,0,q0,0.0,25480,25480,-0.75,0.018194502052839467,0.04627533727260917,0.06609637709971145,0.004816175100277431,0.6640709890689357,0.09769587793231321,0.002040313162536056
full_hla,pr,pdac,0,q0,0.0,30244,30244,1.35,0.09989803797200668,0.006154954472626494,0.00930033894568602,0.0001603870269625829,0.17324303243726033,0.9321675596304272,0.07314426688566295
full_q_mono_pn,pr,covid_nonspike,0,q0,0.0,24312,24312,-1.25,0.0004994901898600331,0.002942646925672085,0.005227873066612079,0.0006116359421083628,0.5770896433678487,0.21411250162386872,0.010937610203054393
full_q_mono_pn,pr,covid_spike,0,q0,0.0,25012,25012,-0.95,0.0040040826438662224,0.09187947548056671,0.18037343075233345,0.00467518604074553,0.6634468554388304,0.4673750014762443,0.002404913529255426
full_q_mono_pn,pr,pdac,0,q0,0.0,26005,26005,-0.5,0.00041337796243778044,0.003855950051766966,0.0076528503324502116,0.0002470250400560259,0.2167520084694515,0.7674186983068463,0.013457518869028018
mono_q_full_pn,pr,covid_nonspike,1,q0p5,0.5,58349,26596,-0.25,0.004838187280728665,0.10811914669144132,0.21226030713754265,0.004259960201038193,0.5957452010762107,0.1942146970943576,0.029604483894580147
