grid_index,c,kappa
0,-12.0,0.00010000000000000009
1,-12.0,0.00010992331607601645
2,-12.0,0.00012083135417147784
3,-12.0,0.00013282183136484435
4,-12.0,0.0001460021615091313
5,-12.0,0.00016049041747349827
6,-12.0,0.00017641638887111135
7,-12.0,0.0001939227447486859
8,-12.0,0.00021316631165338437
9,-12.0,0.00023431947852633578
10,-12.0,0.00025757174100817686
11,-12.0,0.00028313139899091653
12,-12.0,0.0003112274226232321
13,-12.0,0.00034211150348537436
14,-12.0,0.00037606030930863974
15,-12.0,0.00041337796243778044
16,-12.0,0.0004543987642390775
17,-12.0,0.0004994901898600331
18,-12.0,0.0005490561801685379
19,-12.0,0.0006035407603615637
20,-12.0,0.000663432017659834
21,-12.0,0.0007292664737217114
22,-12.0,0.0008016338909455349
23,-12.0,0.0008811825557165285
24,-12.0,0.0009686250859269985
25,-12.0,0.0010647448147951186
26,-12.0,0.001170402808170232
27,-12.0,0.0012865455781875354
28,-12.0,0.0014142135623730968
29,-12.0,0.0015545504441572683
30,-12.0,0.0017088133982921087
31,-12.0,0.0018783843529539507
32,-12.0,0.0020647823694200057
33,-12.0,0.0022696772502194106
34,-12.0,0.002494904497664117
35,-12.0,0.0027424817567620755
36,-12.0,0.003014626889812659
37,-12.0,0.0033137778446013506
38,-12.0,0.0036426144941781413
39,-12.0,0.0040040826438662224
40,-12.0,0.00440142042056198
41,-12.0,0.004838187280728665
42,-12.0,0.005318295896944991
43,-12.0,0.005846047208656651
44,-12.0,0.006426168951124776
45,-12.0,0.007063858007723712
46,-12.0,0.007764826964991121
47,-12.0,0.008535355287482936
48,-12.0,0.009382345570870835
49,-12.0,0.01031338537721247
50,-12.0,0.011336815206330902
51,-12.0,0.012461803212208992
52,-12.0,0.013698427333727649
53,-12.0,0.015057765575496863
54,-12.0,0.016551995247538986
55,-12.0,0.018194502052839467
56,-12.0,0.02000000000000001
57,-12.0,0.021984663215203284
58,-12.0,0.02416627083429558
59,-12.0,0.026564366272968886
60,-12.0,0.029200432301826246
61,-12.0,0.032098083494699614
62,-12.0,0.03528327777422226
63,-12.0,0.038784548949737194
64,-12.0,0.04263326233067686
65,-12.0,0.0468638957052671
66,-12.0,0.051514348201635404
67,-12.0,0.05662627979818328
68,-12.0,0.0622454845246464
69,-12.0,0.06842230069707485
70,-12.0,0.07521206186172792
71,-12.0,0.08267559248755606
72,-12.0,0.0908797528478154
73,-12.0,0.09989803797200668
74,-12.0,0.10981123603370764
75,-12.0,0.1207081520723127
76,-12.0,0.13268640353196676
77,-12.0,0.14585329474434222
78,-12.0,0.1603267781891069
79,-12.0,0.17623651114330563
80,-12.0,0.1937250171853996
81,-12.0,0.21294896295902363
82,-12.0,0.2340805616340463
83,-12.0,0.257309115637507
84,-12.0,0.28284271247461923
85,-12.0,0.31091008883145355
86,-12.0,0.3417626796584219
87,-12.0,0.37567687059079036
88,-12.0,0.41295647388400064
89,-12.0,0.45393545004388197
90,-12.0,0.49898089953282365
91,-12.0,0.5484963513524144
92,-12.0,0.6029253779625317
93,-12.0,0.6627555689202699
94,-12.0,0.7285228988356287
95,-12.0,0.8008165287732435
96,-12.0,0.8802840841123949
97,-12.0,0.9676374561457335
98,-12.0,1.0636591793889987
99,-12.0,1.1692094417313288
100,-12.0,1.2852337902249547
101,-12.0,1.4127716015447394
102,-12.0,1.5529653929982221
103,-12.0,1.7070710574965884
104,-12.0,1.8764691141741663
105,-12.0,2.062677075442493
106,-12.0,2.2673630412661816
107,-12.0,2.4923606424417977
108,-12.0,2.739685466745529
109,-12.0,3.0115531150993715
110,-12.0,3.310399049507793
111,-12.0,3.638900410567892
112,-12.0,4.000000000000001
113,-11.95,0.00010000000000000009
114,-11.95,0.00010992331607601645
115,-11.95,0.00012083135417147784
116,-11.95,0.00013282183136484435
117,-11.95,0.0001460021615091313
118,-11.95,0.00016049041747349827
119,-11.95,0.00017641638887111135
120,-11.95,0.0001939227447486859
121,-11.95,0.00021316631165338437
122,-11.95,0.00023431947852633578
123,-11.95,0.00025757174100817686
124,-11.95,0.00028313139899091653
125,-11.95,0.0003112274226232321
126,-11.95,0.00034211150348537436
127,-11.95,0.00037606030930863974
128,-11.95,0.00041337796243778044
129,-11.95,0.0004543987642390775
130,-11.95,0.0004994901898600331
131,-11.95,0.0005490561801685379
