endpoint_id,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3,score_full_hla__self_gated_hillq_pdac_selected,score_focal_hla__self_gated_hillq_pdac_selected,score_old_monoallelic__self_gated_hillq_pdac_selected,score_mono_q_full_pn__self_gated_hillq_pdac_selected,score_full_q_mono_pn__self_gated_hillq_pdac_selected,score_full_hla__self_gated_hillq_all_contexts_selected,score_focal_hla__self_gated_hillq_all_contexts_selected,score_old_monoallelic__self_gated_hillq_all_contexts_selected,score_mono_q_full_pn__self_gated_hillq_all_contexts_selected,score_full_q_mono_pn__self_gated_hillq_all_contexts_selected
covid_spike.0002aea4f5490474f00493630d8c215a5c66a976d2197c9cf59dcf0311f848d0,-12.238678,-7.355876,-7.355876,-27.477423,-27.631021,-17.493448,-20.872639,-24.734571,-7.355876,-7.355876,-17.493448,-20.872639,-11.33453,-6.4517283,-6.4517283,-27.470572,-27.631021,-17.041374,-20.571257,-24.605408,-6.4517283,-6.4517283,-17.041374,-20.571257,-11.421366,-6.5385633,-6.5385633,-27.47123,-27.631021,-17.084793,-20.600203,-24.617813,-6.5385633,-6.5385633,-17.084793,-20.600203,-9.946421,-5.063618,-5.063618,-27.460056,-27.631021,-16.34732,-20.108553,-24.407106,-5.063618,-5.063618,-16.34732,-20.108553,-10.462061,-5.579259,-5.579259,-27.463963,-27.631021,-16.60514,-20.280434,-24.48077,-5.579259,-5.579259,-16.60514,-20.280434,-6.451728299999993,-7.355875999999937,-5.579259,-5.063618,-6.538563299999987,-6.45172821764186,-7.355875796540053,-5.579258999889388,-5.06361797947794,-6.538563210170601
covid_spike.000aeaec21d7fdd13df7a058b7e9b5283c7f1fb42c2c29dc5661e23b9d89411e,-8.308887,-4.4376855,-4.4376855,-27.147827,-27.631021,-4.4376855,-4.4376855,-19.89991,-4.4376855,-4.4376855,-16.034353,-19.89991,-7.506567,-3.6353657,-3.6353657,-27.131111,-27.631021,-3.6353657,-3.6353657,-19.63247,-3.6353657,-3.6353657,-15.633194,-19.63247,-7.4538546,-3.5826538,-3.5826538,-27.130014,-27.631021,-3.5826538,-3.5826538,-19.614899,-3.5826538,-3.5826538,-15.606837,-19.614899,-5.871444,-2.0002432,-2.0002432,-27.097048,-27.631021,-2.0002432,-2.0002432,-19.08743,-2.0002432,-2.0002432,-14.815632,-19.08743,-6.2407885,-2.3695872,-2.3695872,-27.104742,-27.631021,-2.3695872,-2.3695872,-19.210543,-2.3695872,-2.3695872,-15.000304,-19.210543,-3.6353657,-4.4376855,-2.3695872,-2.0002432,-3.5826538,-3.6353656982823512,-4.437685496138014,-2.3695871999999225,-2.0002431997023833,-3.582653798370547
covid_spike.002181e2f25a523fdecde57b4cd3a92ff81f3fe6c40622907e72082f6791ba08,-27.631021,-23.354355,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.354355,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.354355,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.354355,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.354355,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-23.413753137485067,-23.413753137485067,-23.413753137485067,-23.413753137485067,-23.413753137485067,-23.413753137485067,-23.413753137485067,-23.413753137485067,-23.413753137485067,-23.413753137485067
covid_spike.002a54ea7e490a9fa2dd4a92c7e1d9a90027e33e7813aeb4b02abc9d4a7eb1e5,-6.920075,-2.1838765,-2.6984773,-26.637106,-27.631021,-3.122247,-3.4939861,-8.746609,-2.1838765,-2.3418748,-3.122247,-3.4939861,-6.9031577,-2.1669593,-2.6981668,-26.621832,-27.631021,-3.117013,-3.4904768,-8.45643,-2.1669593,-2.3386006,-3.117013,-3.4904768,-6.9050913,-2.1688926,-2.6994488,-26.622454,-27.631021,-3.1177092,-3.4909608,-8.468251,-2.1688926,-2.3395283,-3.1177092,-3.4909608,-5.303148,-0.5669494,-1.2046362,-26.544203,-27.631021,-1.5301926,-1.8698686,-6.9814644,-0.5669494,-0.78496236,-1.5301926,-1.8698686,-5.3157444,-0.5795459,-1.2048763,-26.546959,-27.631021,-1.5301025,-1.8697753,-7.0338254,-0.5795459,-0.7849761,-1.5301025,-1.8697753,-2.3936484610259434,-2.394432215805388,-0.9141506162406212,-0.9039755180217517,-2.3785028393089345,-2.1716189119874967,-2.1883904616352456,-0.7478002978981075,-0.5725431335977,-2.1735465938864413
covid_spike.007e0636ff4954f82233b4901c953d3cb96bfc69dc16a61bfe1ee048da686151,-27.631021,-23.75982,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.75982,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.75982,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.75982,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.75982,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-23.840470126108816,-23.840470126108816,-23.840470126108816,-23.840470126108816,-23.840470126108816,-23.840470126108816,-23.840470126108816,-23.840470126108816,-23.840470126108816,-23.840470126108816
covid_spike.00b4aba22ed661d03d7b11cee10773fe9198ea0211d4ee9b029e42d7b26dfe25,-11.087822,-6.351623,-6.8540072,-26.975048,-27.631021,-7.1078916,-8.087813,-15.167509,-6.351623,-6.3828564,-7.1078916,-8.087813,-9.979542,-5.2433434,-6.0291476,-26.89863,-27.631021,-6.3633327,-6.5235586,-13.715576,-5.2433434,-5.615355,-6.3633327,-6.5235586,-10.242369,-5.5061703,-6.10459,-26.920027,-27.631021,-6.3962727,-6.8265724,-14.122113,-5.5061703,-5.6611757,-6.3962727,-6.8265724,-7.9948144,-3.258616,-4.2604985,-26.825817,-27.631021,-4.4530554,-4.5922575,-12.332154,-3.258616,-3.7414825,-4.4530554,-4.5922575,-8.729301,-3.9931033,-4.944007,-26.8588,-27.631021,-4.9703465,-5.192808,-12.958847,-3.9931033,-4.276852,-4.9703465,-5.192808,-5.49074725053746,-6.59415093617814,-4.360524585836228,-3.6264948615616683,-5.736744889168655,-5.250236188854386,-6.356029765386918,-4.256631902902466,-3.267404513718885,-5.511419424222552
covid_spike.00b570ae8c77d351948c6e1a4f1907d3b9ced4a5c311e7b047b79f2e7fef90fa,-6.1699796,-3.1742473,-3.2102273,-25.354279,-27.631021,-3.2102273,-3.2102273,-3.2102273,-3.1742473,-3.1742473,-4.8636,-12.452741,-6.170532,-3.1748,-3.2113252,-25.353624,-27.631021,-3.2113252,-3.2113252,-3.2113252,-3.1748,-3.1748,-4.8570414,-12.448368,-6.168987,-3.1732545,-3.2102997,-25.3528,-27.631021,-3.2102997,-3.2102997,-3.2102997,-3.1732545,-3.1732545,-4.8488193,-12.442886,-4.841348,-1.8456159,-1.9013935,-25.200977,-27.631021,-1.9013935,-1.9013935,-1.9013935,-1.8456159,-1.8456159,-3.3305755,-11.430724,-4.818851,-1.8231188,-1.8785039,-25.19905,-27.631021,-1.8785039,-1.8785039,-1.8785039,-1.8231188,-1.8231188,-3.3113158,-11.417885,-3.208799121463646,-3.207000409357489,-1.8755197887172335,-1.8983675315164543,-3.206891053587422,-3.176626196275428,-3.176046201889871,-1.8612715609964403,-1.8484047543584945,-3.1751068318378546
covid_spike.00c1dd640cce6fbcebf42848734e98205677dd338929f00a696f90d0cbe6a09b,-6.8641853,-2.3868487,-2.3868487,-27.344156,-27.631021,-2.3868487,-15.008935,-22.582188,-2.3868487,-2.3868487,-15.008935,-19.216297,-6.551781,-2.0744443,-2.0744443,-27.340607,-27.631021,-2.0744443,-14.852733,-22.519707,-2.0744443,-2.0744443,-14.852733,-19.112162,-5.943218,-1.4658813,-1.4658813,-27.33369,-27.631021,-1.4658813,-14.548451,-22.397993,-1.4658813,-1.4658813,-14.548451,-18.909307,-5.647007,-1.1696701,-1.1696701,-27.330324,-27.631021,-1.1696701,-14.400346,-22.33875,-1.1696701,-1.1696701,-14.400346,-18.810572,-5.5663824,-1.0890455,-1.0890455,-27.329409,-27.631021,-1.0890455,-14.360033,-22.322626,-1.0890455,-1.0890455,-14.360033,-18.783695,-2.0744443,-2.3868487,-1.0890455,-1.1696701,-1.4658813,-2.07444429935813,-2.3868486990935107,-1.0890454999999615,-1.1696700997575928,-1.4658812996740223
covid_spike.00c6e4379eaf634a7be623455ff2eaed463d7d066433333faeb609e2a08218be,-6.8251634,-2.2608151,-2.4039989,-26.896887,-27.631021,-2.4039989,-3.5668335,-13.535625,-2.2608151,-2.3107653,-3.5668335,-4.138695,-6.5458655,-1.9815172,-2.1337378,-26.886597,-27.631021,-2.1337378,-3.3035727,-13.338065,-1.9815172,-2.0417428,-3.3035727,-3.8094277,-6.546241,-1.9818927,-2.1340477,-26.886618,-27.631021,-2.1340477,-3.3038626,-13.338479,-1.9818927,-2.0420492,-3.3038626,-3.8101177,-5.173886,-0.6095377,-0.82815653,-26.837517,-27.631021,-0.82815653,-1.8029497,-12.395729,-0.6095377,-0.6950839,-1.8029497,-2.238868,-5.189226,-0.6248777,-0.8407772,-26.83827,-27.631021,-0.8407772,-1.8147608,-12.410183,-0.6248777,-0.7075027,-1.8147608,-2.2629566,-2.095347693377464,-2.3623562418674906,-0.7988530278501089,-0.7852259116005407,-2.087688302322563,-1.9831027886368826,-2.2623067728439485,-0.7185278939266717,-0.6118149877790855,-1.9834776652884782
covid_spike.00dde237bf09b4d4bd74d7cf49c2f363d8556339505ca851b36259df8e16bf48,-27.631023,-24.63529,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.63529,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.63529,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.63529,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.63529,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-24.78507545609367,-24.78507545609367,-24.78507545609367,-24.78507545609367,-24.78507545609367,-24.78507545609367,-24.78507545609367,-24.78507545609367,-24.78507545609367,-24.78507545609367
