endpoint_id,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3
covid_nonspike.000996517bbba964ac966ebf5f2cf542bc112b538921ea93a447bed252163c6f,-5.9364204,-1.0536187,-1.102708,-26.493055,-27.631021,-2.9822676,-3.8318434,-6.17223,-1.0536187,-1.0796711,-2.9822676,-3.8318434,-5.909606,-1.0268042,-1.1056018,-26.42902,-27.631021,-2.9390497,-3.6931245,-4.9647098,-1.0268042,-1.0803672,-2.9390497,-3.6931245,-5.9309616,-1.0481597,-1.1171898,-26.446596,-27.631021,-2.9433968,-3.6966305,-5.2961345,-1.0481597,-1.0915917,-2.9433968,-3.6966305,-4.9123044,-0.029502159,-0.30099985,-26.328049,-27.631021,-1.2962178,-1.892105,-3.0606654,-0.029502159,-0.17292695,-1.2962178,-1.892105,-5.0008664,-0.118064225,-0.30132192,-26.355606,-27.631021,-1.6900563,-2.2097356,-3.5803134,-0.118064225,-0.2409837,-1.6900563,-2.2097356
covid_nonspike.00f1440aeb73eefa4c41e76ecc4a3b005886364d7299396473bbe85d383ddfac,-6.279561,-1.396759,-1.7608768,-27.245283,-27.631021,-2.1722271,-10.658492,-20.35708,-1.396759,-1.396759,-2.1722271,-10.658492,-6.274465,-1.391663,-1.7552172,-27.24521,-27.631021,-2.1674914,-10.655334,-20.355728,-1.391663,-1.391663,-2.1674914,-10.655334,-6.2733,-1.390498,-1.7536951,-27.245195,-27.631021,-2.1665556,-10.654711,-20.35546,-1.390498,-1.390498,-2.1665556,-10.654711,-5.027786,-0.14498381,-0.60691804,-27.2256,-27.631021,-0.8731632,-9.792449,-19.98592,-0.14498381,-0.14498381,-0.8731632,-9.792449,-5.026742,-0.14393987,-0.6053963,-27.225586,-27.631021,-0.8722876,-9.791865,-19.985668,-0.14393987,-0.14393987,-0.8722876,-9.791865
covid_nonspike.010f5b783be87677716e528edace50459924ebca4b48ce17e798b6a90be59eb9,-7.2599583,-2.3771563,-2.7154129,-26.235516,-27.631021,-3.34988,-4.0501027,-6.106513,-2.3771563,-2.4676695,-3.34988,-4.0501027,-7.023723,-2.140921,-2.6898603,-26.126162,-27.631021,-3.2808537,-3.5322556,-5.0605664,-2.140921,-2.4223793,-3.2808537,-3.5322556,-7.0950794,-2.2122774,-2.680311,-26.158455,-27.631021,-3.259684,-3.6425514,-5.322713,-2.2122774,-2.4073267,-3.259684,-3.6425514,-5.554245,-0.671443,-1.4873965,-25.99797,-27.631021,-1.8480157,-2.1273367,-3.2766128,-0.671443,-1.0912077,-1.8480157,-2.1273367,-5.750094,-0.86729205,-1.4729583,-26.047968,-27.631021,-1.8237454,-2.369923,-3.7477992,-0.86729205,-1.0702943,-1.8237454,-2.369923
covid_nonspike.01332c445677a5b89e4029656dbd1ac49d0d8b55e4d827f6c073cd46254166d1,-6.0151424,-1.5378057,-1.5602016,-26.457214,-27.631021,-1.5602016,-3.5771875,-6.972022,-1.5378057,-1.5426526,-3.5771875,-4.8227997,-5.9972186,-1.5198818,-1.5513645,-26.37983,-27.631021,-1.5513645,-3.5713036,-5.610054,-1.5198818,-1.533918,-3.5713036,-4.579429,-5.873746,-1.3964089,-1.4280235,-26.40158,-27.631021,-1.4280235,-3.3554847,-5.992849,-1.3964089,-1.4070693,-3.3554847,-4.4256635,-5.1092787,-0.63194185,-0.6977243,-26.28953,-27.631021,-0.6977243,-2.4565084,-4.020753,-0.63194185,-0.66848445,-2.4565084,-3.2910845,-5.003317,-0.52598023,-0.57718927,-26.326735,-27.631021,-0.57718927,-2.2420926,-4.675564,-0.52598023,-0.54201514,-2.2420926,-3.2549171
covid_nonspike.015885a75db3342976e5c37271c9ebdaef1d9707a9632f699c4778b363ac4ef9,-10.740969,-6.2636313,-6.663139,-26.789465,-27.631021,-6.663139,-7.354697,-12.819631,-6.2636313,-6.439359,-7.354697,-7.60074,-9.847775,-5.3704386,-6.241286,-26.68825,-27.631021,-6.241286,-6.443012,-11.03822,-5.3704386,-5.729655,-6.443012,-6.609965,-10.159754,-5.6824164,-6.607915,-26.732815,-27.631021,-6.607915,-6.703969,-11.822596,-5.6824164,-6.0062156,-6.703969,-6.797286,-8.192586,-3.7152488,-4.85671,-26.60752,-27.631021,-4.85671,-4.998484,-9.617383,-3.7152488,-4.2953205,-4.998484,-5.0659404,-8.922501,-4.4451637,-5.2211,-26.66955,-27.631021,-5.2211,-5.422282,-10.70912,-4.4451637,-4.709033,-5.422282,-5.597335
covid_nonspike.015ab6ee0f78363a26facae8c7050ff70e0deca84691d0625a984a6109c397b7,-8.423161,-3.540359,-3.581016,-27.290735,-27.631021,-5.17211,-12.658414,-21.21419,-3.540359,-3.540359,-5.17211,-12.658414,-8.283951,-3.4011483,-3.5424933,-27.280325,-27.631021,-4.485017,-12.200352,-21.017878,-3.4011483,-3.4011483,-4.485017,-12.200352,-8.2813425,-3.3985403,-3.5375953,-27.280382,-27.631021,-4.4888716,-12.202921,-21.018978,-3.3985403,-3.3985403,-4.4888716,-12.202921,-6.4668694,-1.5840675,-1.9242045,-27.24837,-27.631021,-2.3759656,-10.794317,-20.41529,-1.5840675,-1.5840675,-2.3759656,-10.794317,-6.493889,-1.6110868,-1.9181349,-27.249184,-27.631021,-2.4297857,-10.830197,-20.430668,-1.6110868,-1.6110868,-2.4297857,-10.830197
covid_nonspike.01cf0ea3033cfce98bb2e8a39356dd23ff069a7605422a7956b88f404f991640,-8.067284,-3.1844814,-3.23806,-26.724506,-27.631021,-5.0794787,-5.7663665,-10.536744,-3.1844814,-3.2132196,-5.0794787,-5.7663665,-6.567932,-1.6851299,-1.9809266,-26.605429,-27.631021,-2.6094434,-3.587667,-8.291283,-1.6851299,-1.7305596,-2.6094434,-3.587667,-7.826723,-2.9439213,-3.23755,-26.660917,-27.631021,-3.9094186,-4.7607718,-9.337621,-2.9439216,-3.005749,-3.9094186,-4.7607718,-4.9596767,-0.0768749,-0.38145265,-26.525282,-27.631021,-1.0204129,-1.9765196,-6.779923,-0.0768749,-0.13567437,-1.0204129,-1.9765196,-6.3741293,-1.4913272,-1.6588832,-26.603777,-27.631021,-2.6830776,-3.519989,-8.260121,-1.4913272,-1.5376018,-2.6830776,-3.519989
covid_nonspike.01ec5a1a577713ac3b33e864ef715de8021da6007768dbbf6a08c593eb5c7f75,-7.1440163,-2.261214,-2.4095886,-27.097738,-27.631021,-3.4891453,-4.166566,-17.574825,-2.261214,-2.300351,-3.4891453,-4.166566,-6.196996,-1.3141942,-1.5681108,-27.072248,-27.631021,-2.283103,-3.0450094,-17.09416,-1.3141942,-1.3535539,-2.283103,-3.0450094,-6.283478,-1.4006759,-1.5988377,-27.075409,-27.631021,-2.4909127,-3.184097,-17.153769,-1.4006759,-1.4435965,-2.4909127,-3.184097,-4.8217006,0.061101474,-0.50779593,-27.03772,-27.631021,-0.6869801,-1.5257803,-16.443062,0.061101474,0.02213534,-0.6869801,-1.5257803,-5.2193446,-0.3365426,-0.72075224,-27.045462,-27.631021,-1.1981428,-1.8664219,-16.58905,-0.3365426,-0.3951269,-1.1981428,-1.8664219
covid_nonspike.01f8077ab37ab2673c7acc1c9a00084eb061a762be9af4edcd0a58c67ce7530d,-11.510479,-6.6276774,-6.829428,-26.840212,-27.631021,-7.830511,-8.499381,-12.718619,-6.6276774,-6.702758,-7.830511,-8.499381,-10.236556,-5.353754,-5.870207,-26.722897,-27.631021,-6.5445476,-6.8985033,-10.506367,-5.353754,-5.6394267,-6.5445476,-6.8985033,-9.635002,-4.7522,-4.886519,-26.761677,-27.631021,-6.1209326,-6.8188515,-11.23767,-4.7522,-4.80523,-6.1209326,-6.8188515,-7.9965773,-3.1137755,-3.377779,-26.63685,-27.631021,-4.603854,-5.0533004,-8.883783,-3.1137755,-3.2951782,-4.603854,-5.0533004,-7.475457,-2.592655,-2.6336632,-26.70723,-27.631021,-4.434143,-5.3854556,-10.210963,-2.592655,-2.6067317,-4.434143,-5.3854556
covid_nonspike.024e316579d2b3d76339844ac071bf786f77e308b61db13eb62916852a7a2336,-4.234015,0.24332167,-0.6400169,-25.831697,-27.631021,-0.6400169,-0.8025014,-2.4444919,0.24332167,-0.09621128,-0.8025014,-0.9468262,-4.222326,0.25501105,-0.6426482,-25.689445,-27.631021,-0.6426482,-0.803897,-1.9388354,0.25501105,-0.09780523,-0.803897,-0.9479104,-4.2445874,0.23274939,-0.6726608,-25.75608,-27.631021,-0.6726608,-0.8190384,-2.1341054,0.23274939,-0.115216084,-0.8190384,-0.9587579,-3.4176004,1.0597365,-0.20557152,-25.549934,-27.631021,-0.20557152,-0.21463901,-0.7885914,1.0597365,0.4785493,-0.21463901,-0.25051612,-3.481432,0.99590486,-0.20920737,-25.635374,-27.631021,-0.20920737,-0.21563506,-1.0820048,0.99590486,0.47753277,-0.21563506,-0.25114012
