endpoint_id,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3
pdac.02526ff00ce7913d5e46a73b1908fcba417a725286f686d34ef7616a43d6bf70,-4.1886144,-0.094269775,-0.6712624,-20.788527,-27.631021,-0.6712624,-1.2443702,-1.6984799,-0.11216285,-0.39527038,-1.2443702,-1.6984799,-4.0028462,0.09149816,-0.6702521,-20.520334,-27.631021,-0.6702521,-1.2432071,-1.5861982,0.052451354,-0.39418638,-1.2432071,-1.5861982,-4.101663,-0.0073187165,-0.67123234,-20.587637,-27.631021,-0.67123234,-1.2443452,-1.6984532,-0.046457794,-0.39524275,-1.2443452,-1.6984532,-2.9794376,1.114907,-0.20845987,-20.043283,-27.631021,-0.20845987,-0.51213527,-0.7263909,1.0114362,0.22642954,-0.51213527,-0.7263909,-3.1500587,0.944286,-0.20642473,-20.182373,-27.631021,-0.20642473,-0.51067865,-0.8028634,0.88205534,0.2280568,-0.51067865,-0.8028634
pdac.043d435fab18ab0663607571cded83fa3fedb7f18cf08337ccfd992e13a908d5,-4.0647173,1.094338,-0.69327545,-21.80471,-27.631021,-0.82607013,-0.99380636,-1.3508679,0.9803673,-0.12413153,-0.82607013,-0.93637687,-3.9963555,1.1626997,-0.6892839,-21.396257,-27.631021,-0.8199338,-0.99089825,-1.3284183,1.0018597,-0.11827607,-0.8199338,-0.932486,-3.895842,1.2632132,-0.6395137,-21.463503,-27.631021,-0.765098,-0.89904857,-1.2324347,1.0864604,-0.06408573,-0.765098,-0.8130513,-3.050792,2.1082633,-0.25053203,-20.889814,-27.631021,-0.2862224,-0.3130311,-0.5238603,1.7605159,0.40756154,-0.2862224,-0.29917577,-3.0436504,2.1154048,-0.20255354,-21.03148,-27.631021,-0.25856322,-0.2908504,-0.47873467,1.8079561,0.43615168,-0.25856322,-0.27946636
pdac.04bb5719ad19c5e17e37f696df2388a57067fd69f7ac215cc3837be95302abf5,-4.457367,-0.8738478,-1.0567502,-23.068192,-27.631021,-1.0567502,-1.0567502,-2.4418159,-0.8738478,-0.99598086,-2.4418159,-2.9517393,-4.1353464,-0.55182725,-1.0501915,-22.986073,-27.631021,-1.0501915,-1.0501915,-1.4251173,-0.55182725,-0.6632728,-1.4251173,-2.1452157,-4.349269,-0.7657498,-1.1382662,-23.006165,-27.631021,-1.1382662,-1.1382662,-1.8126147,-0.7657498,-0.90748924,-1.8126147,-2.3999803,-3.0310955,0.5524234,-0.2926341,-22.685198,-27.631021,-0.2926341,-0.2926341,-0.46243757,0.5524234,0.24505745,-0.46243757,-0.7243369,-3.2995768,0.28394216,-0.34389395,-22.71986,-27.631021,-0.34389395,-0.34389395,-0.7887558,0.28394216,0.00024116017,-0.7887558,-1.1500899
pdac.054d7893a10c38a5509acb681e77504fe3009c307ddfb869c976c200a0c3b793,-4.349483,-0.478282,-1.6080143,-22.619314,-27.631021,-1.6080143,-1.6080143,-2.0053208,-0.478282,-0.9364412,-1.6298263,-2.0053208,-4.340774,-0.46957305,-1.5868717,-22.618946,-27.631021,-1.5868717,-1.5868717,-1.9968908,-0.46957305,-0.9235942,-1.6172012,-1.9968908,-4.528187,-0.65698564,-1.6084297,-22.663101,-27.631021,-1.6084297,-1.6084297,-2.118766,-0.65698564,-1.086166,-1.7969856,-2.118766,-3.1365242,0.7346768,-0.5222616,-22.320408,-27.631021,-0.5222616,-0.5222616,-0.8006416,0.7346768,0.14761135,-0.54581314,-0.8006416,-3.2355902,0.6356109,-0.54985946,-22.355246,-27.631021,-0.54985946,-0.54985946,-0.8729681,0.6356109,0.07851196,-0.61687934,-0.8729681
pdac.076594af48300bc1dde37a255ef0df93fd3839702e75c13a6bfcf8ca8b082cee,-3.8681588,-0.46696132,-0.6198911,-23.62917,-27.631021,-0.6198911,-0.6198911,-1.8242686,-0.46696132,-0.5337802,-1.8242686,-2.3641522,-3.8675168,-0.46631938,-0.62009656,-23.621696,-27.631021,-0.62009656,-0.62009656,-1.8270738,-0.46631938,-0.53441364,-1.8270738,-2.365841,-4.193646,-0.7924486,-0.9275504,-23.663229,-27.631021,-0.9275504,-0.9275504,-2.1461158,-0.7924486,-0.8437505,-2.1461158,-2.9247146,-3.277061,0.12413646,-0.20924522,-23.431784,-27.631021,-0.20924522,-0.20924522,-0.9960538,0.12413646,-0.02086373,-0.9960538,-1.3822359,-3.4398844,-0.03868688,-0.32389057,-23.462006,-27.631021,-0.32389057,-0.32389057,-1.1130302,-0.03868688,-0.13630798,-1.1130302,-1.7413294
pdac.096519334e5a25772e08825ec3231dd0dcd769334fc61db3df846c9ea00863c0,-4.2061334,-0.3349322,-0.9838262,-21.075294,-27.631021,-0.9838262,-0.9838262,-1.9276088,-0.33764812,-0.7650293,-1.6879356,-1.9276088,-4.094797,-0.2235959,-0.9841074,-20.783777,-27.631021,-0.9841074,-0.9841074,-1.8093119,-0.23789169,-0.7019328,-1.5445206,-1.8093119,-4.4282403,-0.5570392,-1.800863,-20.934755,-27.631021,-1.800863,-1.800863,-2.0364683,-0.56708705,-1.198978,-1.8967116,-2.0364683,-2.938888,0.93231297,-0.25275427,-20.29304,-27.631021,-0.25275427,-0.25275427,-0.71555334,0.90143925,0.18825884,-0.54779595,-0.71555334,-3.2363572,0.6348439,-0.837827,-20.496681,-27.631021,-0.837827,-0.837827,-0.9283129,0.6189034,-0.20241599,-0.89733255,-0.9283129
pdac.0adeb4ed1da7f796ec306c6d29a44f1211598d012a8de5d546d57b0e4e1753ff,-5.749237,-3.2643304,-3.5464191,-20.779623,-27.631021,-3.5464191,-3.5464191,-3.5464191,-3.2643304,-3.2902865,-4.16205,-5.0849743,-5.485478,-3.0005713,-3.3567955,-20.131514,-27.631021,-3.3567955,-3.3567955,-3.3567955,-3.0005713,-3.1101005,-3.9936557,-4.475791,-5.173283,-2.6883764,-3.0360603,-20.342793,-27.631021,-3.0360603,-3.0360603,-3.0360603,-2.6883764,-2.7584536,-3.6058292,-4.199745,-4.116185,-1.6312784,-2.1011903,-19.552956,-27.631021,-2.1011903,-2.1011903,-2.1011903,-1.6312784,-1.8322362,-2.6890528,-3.0286577,-3.9108815,-1.4259748,-1.7804148,-19.900904,-27.631021,-1.7804148,-1.7804148,-1.7804148,-1.4259748,-1.4781675,-2.301206,-3.0067794
pdac.133402df608bd3b31be59fe1dc9a322c75e0fbf5a35342361c09d838c830c494,-4.043264,-0.17206265,-0.46820092,-22.77694,-27.631021,-0.46820092,-0.46820092,-2.0337782,-0.17206265,-0.28181773,-1.2608569,-2.0337782,-4.0306015,-0.15940028,-0.46902007,-22.720451,-27.631021,-0.46902007,-0.46902007,-2.034058,-0.15940028,-0.28249583,-1.2612615,-2.034058,-4.051668,-0.18046694,-0.49351993,-22.722748,-27.631021,-0.49351993,-0.49351993,-2.0445225,-0.18046694,-0.3044371,-1.2782897,-2.0445225,-3.220759,0.6504422,-0.1679186,-22.367968,-27.631021,-0.1679186,-0.1679186,-0.8107647,0.6504422,0.19618307,-0.5792954,-0.8107647,-3.2978687,0.5733323,-0.30429554,-22.377054,-27.631021,-0.30429554,-0.30429554,-0.9013804,0.5733323,0.103427805,-0.6474894,-0.9013804
pdac.162eb74d1e59c2ab6abf238bf941550d55ba74aad47a1c403208edc49640549d,-4.5700574,-0.38040257,-1.3602686,-22.944597,-27.631021,-1.3602686,-1.3925542,-2.1158547,-0.3828793,-0.6988859,-1.3925542,-1.6414062,-4.437157,-0.2475021,-1.2937685,-22.726625,-27.631021,-1.2937685,-1.3189704,-1.8523798,-0.25783563,-0.62550575,-1.3189704,-1.5870559,-4.3532186,-0.1635635,-0.9582013,-22.767233,-27.631021,-0.9582013,-1.348588,-1.7568537,-0.17007579,-0.5811002,-1.348588,-1.6022809,-3.3745804,0.8150745,-0.41088358,-22.36798,-27.631021,-0.41088358,-0.5407982,-0.75066906,0.78854996,0.16076428,-0.5407982,-0.66066617,-3.2652102,0.92444474,-0.33748984,-22.441133,-27.631021,-0.33748984,-0.4125479,-0.6020492,0.911373,0.2834135,-0.4125479,-0.4686921
pdac.165f0d5575dd788688c3dde762f3c6e7afc7e28ac6a26dbb1c6d6e4e49d9554c,-6.9870496,-3.8089957,-4.4379697,-23.991455,-27.631021,-4.4379697,-4.4379697,-4.834159,-3.8089957,-4.0645,-4.834159,-5.008827,-5.8212633,-2.6432095,-3.0804656,-23.773817,-27.631021,-3.0804656,-3.0804656,-3.6313424,-2.6432095,-2.793568,-3.6313424,-4.1087,-6.0162354,-2.8381815,-3.6568244,-23.803371,-27.631021,-3.6568244,-3.6568244,-3.742699,-2.8381815,-3.045869,-3.742699,-4.0472326,-4.383982,-1.2059284,-1.6259415,-23.528746,-27.631021,-1.6259415,-1.6259415,-2.2414804,-1.2059284,-1.3697673,-2.2414804,-2.7270977,-5.025692,-1.8476382,-2.693888,-23.632095,-27.631021,-2.693888,-2.693888,-2.7892106,-1.8476382,-2.091527,-2.7892106,-3.029913
