endpoint_id,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3
covid_spike.0002aea4f5490474f00493630d8c215a5c66a976d2197c9cf59dcf0311f848d0,-12.238678,-7.355876,-7.355876,-27.477423,-27.631021,-17.493448,-20.872639,-24.734571,-7.355876,-7.355876,-17.493448,-20.872639,-11.33453,-6.4517283,-6.4517283,-27.470572,-27.631021,-17.041374,-20.571257,-24.605408,-6.4517283,-6.4517283,-17.041374,-20.571257,-11.421366,-6.5385633,-6.5385633,-27.47123,-27.631021,-17.084793,-20.600203,-24.617813,-6.5385633,-6.5385633,-17.084793,-20.600203,-9.946421,-5.063618,-5.063618,-27.460056,-27.631021,-16.34732,-20.108553,-24.407106,-5.063618,-5.063618,-16.34732,-20.108553,-10.033256,-5.1504536,-5.1504536,-27.460714,-27.631021,-16.390738,-20.137499,-24.419512,-5.1504536,-5.1504536,-16.390738,-20.137499
covid_spike.000aeaec21d7fdd13df7a058b7e9b5283c7f1fb42c2c29dc5661e23b9d89411e,-8.308887,-4.4376855,-4.4376855,-27.147827,-27.631021,-4.4376855,-4.4376855,-19.89991,-4.4376855,-4.4376855,-16.034353,-19.89991,-7.506567,-3.6353657,-3.6353657,-27.131111,-27.631021,-3.6353657,-3.6353657,-19.63247,-3.6353657,-3.6353657,-15.633194,-19.63247,-7.4538546,-3.5826538,-3.5826538,-27.130014,-27.631021,-3.5826538,-3.5826538,-19.614899,-3.5826538,-3.5826538,-15.606837,-19.614899,-5.871444,-2.0002432,-2.0002432,-27.097048,-27.631021,-2.0002432,-2.0002432,-19.08743,-2.0002432,-2.0002432,-14.815632,-19.08743,-5.818722,-1.947521,-1.947521,-27.09595,-27.631021,-1.947521,-1.947521,-19.069855,-1.947521,-1.947521,-14.789271,-19.069855
covid_spike.002181e2f25a523fdecde57b4cd3a92ff81f3fe6c40622907e72082f6791ba08,-27.631021,-23.354355,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.354355,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.354355,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.354355,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.354355,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021
covid_spike.002a54ea7e490a9fa2dd4a92c7e1d9a90027e33e7813aeb4b02abc9d4a7eb1e5,-6.920075,-2.1838765,-2.6984773,-26.637106,-27.631021,-3.122247,-3.4939861,-8.746609,-2.1838765,-2.3418748,-3.122247,-3.4939861,-6.9031577,-2.1669593,-2.6981668,-26.621832,-27.631021,-3.117013,-3.4904768,-8.45643,-2.1669593,-2.3386006,-3.117013,-3.4904768,-6.9050913,-2.1688926,-2.6994488,-26.622454,-27.631021,-3.1177092,-3.4909608,-8.468251,-2.1688926,-2.3395283,-3.1177092,-3.4909608,-5.303148,-0.5669494,-1.2046362,-26.544203,-27.631021,-1.5301926,-1.8698686,-6.9814644,-0.5669494,-0.78496236,-1.5301926,-1.8698686,-5.3056035,-0.56940496,-1.2039161,-26.544792,-27.631021,-1.5294673,-1.8691785,-6.992669,-0.56940496,-0.7842388,-1.5294673,-1.8691785
covid_spike.007e0636ff4954f82233b4901c953d3cb96bfc69dc16a61bfe1ee048da686151,-27.631021,-23.75982,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.75982,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.75982,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.75982,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-23.75982,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021
covid_spike.00b4aba22ed661d03d7b11cee10773fe9198ea0211d4ee9b029e42d7b26dfe25,-11.087822,-6.351623,-6.8540072,-26.975048,-27.631021,-7.1078916,-8.087813,-15.167509,-6.351623,-6.3828564,-7.1078916,-8.087813,-9.979542,-5.2433434,-6.0291476,-26.89863,-27.631021,-6.3633327,-6.5235586,-13.715576,-5.2433434,-5.615355,-6.3633327,-6.5235586,-10.242369,-5.5061703,-6.10459,-26.920027,-27.631021,-6.3962727,-6.8265724,-14.122113,-5.5061703,-5.6611757,-6.3962727,-6.8265724,-7.9948144,-3.258616,-4.2604985,-26.825817,-27.631021,-4.4530554,-4.5922575,-12.332154,-3.258616,-3.7414825,-4.4530554,-4.5922575,-8.475608,-3.7394097,-4.7210536,-26.847208,-27.631021,-4.83241,-4.922827,-12.738561,-3.7394097,-4.1330757,-4.83241,-4.922827
covid_spike.00b570ae8c77d351948c6e1a4f1907d3b9ced4a5c311e7b047b79f2e7fef90fa,-6.1699796,-3.1742473,-3.2102273,-25.354279,-27.631021,-3.2102273,-3.2102273,-3.2102273,-3.1742473,-3.1742473,-4.8636,-12.452741,-6.170532,-3.1748,-3.2113252,-25.353624,-27.631021,-3.2113252,-3.2113252,-3.2113252,-3.1748,-3.1748,-4.8570414,-12.448368,-6.168987,-3.1732545,-3.2102997,-25.3528,-27.631021,-3.2102997,-3.2102997,-3.2102997,-3.1732545,-3.1732545,-4.8488193,-12.442886,-4.841348,-1.8456159,-1.9013935,-25.200977,-27.631021,-1.9013935,-1.9013935,-1.9013935,-1.8456159,-1.8456159,-3.3305755,-11.430724,-4.8071485,-1.811416,-1.8661715,-25.198406,-27.631021,-1.8661715,-1.8661715,-1.8661715,-1.811416,-1.811416,-3.3048594,-11.41358
covid_spike.00c1dd640cce6fbcebf42848734e98205677dd338929f00a696f90d0cbe6a09b,-6.8641853,-2.3868487,-2.3868487,-27.344156,-27.631021,-2.3868487,-15.008935,-22.582188,-2.3868487,-2.3868487,-15.008935,-19.216297,-6.551781,-2.0744443,-2.0744443,-27.340607,-27.631021,-2.0744443,-14.852733,-22.519707,-2.0744443,-2.0744443,-14.852733,-19.112162,-5.943218,-1.4658813,-1.4658813,-27.33369,-27.631021,-1.4658813,-14.548451,-22.397993,-1.4658813,-1.4658813,-14.548451,-18.909307,-5.647007,-1.1696701,-1.1696701,-27.330324,-27.631021,-1.1696701,-14.400346,-22.33875,-1.1696701,-1.1696701,-14.400346,-18.810572,-5.038444,-0.56110716,-0.56110716,-27.323408,-27.631021,-0.56110716,-14.096065,-22.21704,-0.56110716,-0.56110716,-14.096065,-18.607718
covid_spike.00c6e4379eaf634a7be623455ff2eaed463d7d066433333faeb609e2a08218be,-6.8251634,-2.2608151,-2.4039989,-26.896887,-27.631021,-2.4039989,-3.5668335,-13.535625,-2.2608151,-2.3107653,-3.5668335,-4.138695,-6.5458655,-1.9815172,-2.1337378,-26.886597,-27.631021,-2.1337378,-3.3035727,-13.338065,-1.9815172,-2.0417428,-3.3035727,-3.8094277,-6.546241,-1.9818927,-2.1340477,-26.886618,-27.631021,-2.1340477,-3.3038626,-13.338479,-1.9818927,-2.0420492,-3.3038626,-3.8101177,-5.173886,-0.6095377,-0.82815653,-26.837517,-27.631021,-0.82815653,-1.8029497,-12.395729,-0.6095377,-0.6950839,-1.8029497,-2.238868,-5.173888,-0.6095402,-0.82803655,-26.837528,-27.631021,-0.82803655,-1.8028097,-12.39596,-0.6095402,-0.694959,-1.8028097,-2.2392516
covid_spike.00dde237bf09b4d4bd74d7cf49c2f363d8556339505ca851b36259df8e16bf48,-27.631023,-24.63529,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.63529,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.63529,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.63529,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.63529,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021
