env_id,allele_environment
0,A2402
1,A3002
2,B3902
3,B4501
4,C0702
5,C1601
6,A0201
7,A3002
8,B1402
9,B5501
10,C0102
11,C0802
12,A0201
13,A6801
14,B3501
15,C0401
16,A2402
17,A3201
18,B1501
19,B2705
20,C0202
21,C0303
22,A2402
23,A2902
24,B3502
25,B4402
26,C0401
27,C1604
28,A0301
29,A3002
30,B0702
31,B1801
32,C0501
33,C0702
34,A0101
35,A0201
36,B4102
37,B5201
38,C1701
39,A1101
40,B4001
41,C0702
42,A0301
43,B0702
44,B3501
45,C0401
46,C0702
47,A2402
48,A2901
49,B0705
50,B4101
51,C1505
52,C1701
53,A0201
54,A2402
55,B3906
56,B4402
57,C0501
58,C0702
59,A0101
60,A3201
61,B0801
62,B3501
63,C0401
64,C0701
65,A1101
66,A2601
67,B1803
68,B3801
69,C0701
70,C1203
