env_id,allele_environment
0,A2402
1,B4001
2,B5201
3,C0401
4,A0203
5,A2601
6,B1502
7,B3503
8,C0801
9,C1203
10,A2417
11,A2601
12,B0801
13,B1502
14,C0702
15,C0801
16,A0101
17,A3101
18,B0702
19,A1101
20,B5101
21,B5501
22,C0303
23,C1502
24,A0201
25,B0702
26,B4402
27,C0702
28,C1604
29,A2301
30,A6901
31,B3508
32,B4901
33,C0701
34,C1203
35,A2601
36,A3002
37,B3801
38,C1203
39,A2402
40,A2902
41,B1402
42,B3503
43,C0401
44,C0802
45,A0201
46,A6802
47,B1501
48,B1515
49,C0102
50,C0303
51,A1101
52,A2402
53,B1501
54,B3501
55,C0102
56,C0401
57,A0101
58,A2402
59,B1801
60,C0701
61,A2301
62,A2902
63,B1517
64,B5201
65,C0602
66,C0701
