dataset,mono_env_id,full_env_id,HLA-RE,full_allele_environment
PDAC,0,0,A2402,"A2402,A2601,B3502,B3801,C0401,C1203"
PDAC,1,0,A2601,"A2402,A2601,B3502,B3801,C0401,C1203"
PDAC,2,0,B3502,"A2402,A2601,B3502,B3801,C0401,C1203"
PDAC,3,0,B3801,"A2402,A2601,B3502,B3801,C0401,C1203"
PDAC,4,0,C0401,"A2402,A2601,B3502,B3801,C0401,C1203"
PDAC,5,0,C1203,"A2402,A2601,B3502,B3801,C0401,C1203"
PDAC,6,3,A0301,"A3201,A0301,B0702,B3502,C0702,C0401"
PDAC,7,3,A3201,"A3201,A0301,B0702,B3502,C0702,C0401"
PDAC,8,3,B0702,"A3201,A0301,B0702,B3502,C0702,C0401"
PDAC,9,3,B3502,"A3201,A0301,B0702,B3502,C0702,C0401"
PDAC,10,3,C0401,"A3201,A0301,B0702,B3502,C0702,C0401"
PDAC,11,3,C0702,"A3201,A0301,B0702,B3502,C0702,C0401"
PDAC,12,6,A0205,"A0205,A3201,B4101,B5801,C1701,C0701"
PDAC,13,6,A3201,"A0205,A3201,B4101,B5801,C1701,C0701"
PDAC,14,6,B4101,"A0205,A3201,B4101,B5801,C1701,C0701"
PDAC,15,6,B5801,"A0205,A3201,B4101,B5801,C1701,C0701"
PDAC,16,6,C0701,"A0205,A3201,B4101,B5801,C1701,C0701"
PDAC,17,6,C1701,"A0205,A3201,B4101,B5801,C1701,C0701"
PDAC,18,7,A3301,"A6801,A3301,B1302,B1516,C0602,C1402"
PDAC,19,7,A6801,"A6801,A3301,B1302,B1516,C0602,C1402"
PDAC,20,7,B1302,"A6801,A3301,B1302,B1516,C0602,C1402"
PDAC,21,7,B1516,"A6801,A3301,B1302,B1516,C0602,C1402"
PDAC,22,7,C0602,"A6801,A3301,B1302,B1516,C0602,C1402"
PDAC,23,7,C1402,"A6801,A3301,B1302,B1516,C0602,C1402"
PDAC,24,8,A0201,"A0301,A0201,B3508,B0702,C0702,C0202"
PDAC,25,8,A0301,"A0301,A0201,B3508,B0702,C0702,C0202"
PDAC,26,8,B0702,"A0301,A0201,B3508,B0702,C0702,C0202"
PDAC,27,8,B3508,"A0301,A0201,B3508,B0702,C0702,C0202"
PDAC,28,8,C0202,"A0301,A0201,B3508,B0702,C0702,C0202"
PDAC,29,8,C0702,"A0301,A0201,B3508,B0702,C0702,C0202"
PDAC,30,9,A0101,"A6801,A0101,B0801,B4402,C0701,C0501"
PDAC,31,9,A6801,"A6801,A0101,B0801,B4402,C0701,C0501"
PDAC,32,9,B0801,"A6801,A0101,B0801,B4402,C0701,C0501"
PDAC,33,9,B4402,"A6801,A0101,B0801,B4402,C0701,C0501"
PDAC,34,9,C0501,"A6801,A0101,B0801,B4402,C0701,C0501"
PDAC,35,9,C0701,"A6801,A0101,B0801,B4402,C0701,C0501"
PDAC,36,10,A0101,"A0101,A2601,B3801,B5701,C0602,C1203"
PDAC,37,10,A2601,"A0101,A2601,B3801,B5701,C0602,C1203"
PDAC,38,10,B3801,"A0101,A2601,B3801,B5701,C0602,C1203"
PDAC,39,10,B5701,"A0101,A2601,B3801,B5701,C0602,C1203"
PDAC,40,10,C0602,"A0101,A2601,B3801,B5701,C0602,C1203"
PDAC,41,10,C1203,"A0101,A2601,B3801,B5701,C0602,C1203"
PDAC,42,11,A0101,"A3101,A0101,B4402,B5701,C0602,C0501"
PDAC,43,11,A3101,"A3101,A0101,B4402,B5701,C0602,C0501"
PDAC,44,11,B4402,"A3101,A0101,B4402,B5701,C0602,C0501"
PDAC,45,11,B5701,"A3101,A0101,B4402,B5701,C0602,C0501"
PDAC,46,11,C0501,"A3101,A0101,B4402,B5701,C0602,C0501"
PDAC,47,11,C0602,"A3101,A0101,B4402,B5701,C0602,C0501"
PDAC,48,12,A0101,"A0201,A0101,B5101,B5701,C0602,C1502"
PDAC,49,12,A0201,"A0201,A0101,B5101,B5701,C0602,C1502"
PDAC,50,12,B5101,"A0201,A0101,B5101,B5701,C0602,C1502"
PDAC,51,12,B5701,"A0201,A0101,B5101,B5701,C0602,C1502"
PDAC,52,12,C0602,"A0201,A0101,B5101,B5701,C0602,C1502"
PDAC,53,12,C1502,"A0201,A0101,B5101,B5701,C0602,C1502"
PDAC,54,13,A1101,"A6802,A1101,B1402,B5201,C1202,C0802"
PDAC,55,13,A6802,"A6802,A1101,B1402,B5201,C1202,C0802"
PDAC,56,13,B1402,"A6802,A1101,B1402,B5201,C1202,C0802"
PDAC,57,13,B5201,"A6802,A1101,B1402,B5201,C1202,C0802"
PDAC,58,13,C0802,"A6802,A1101,B1402,B5201,C1202,C0802"
PDAC,59,13,C1202,"A6802,A1101,B1402,B5201,C1202,C0802"
PDAC,60,14,A0201,"A6801,A0201,B3501,B0702,C0702,C0401"
PDAC,61,14,A6801,"A6801,A0201,B3501,B0702,C0702,C0401"
PDAC,62,14,B0702,"A6801,A0201,B3501,B0702,C0702,C0401"
PDAC,63,14,B3501,"A6801,A0201,B3501,B0702,C0702,C0401"
PDAC,64,14,C0401,"A6801,A0201,B3501,B0702,C0702,C0401"
PDAC,65,14,C0702,"A6801,A0201,B3501,B0702,C0702,C0401"
PDAC,66,15,A1101,"A1101,A2601,B3801,B0702,C0702,C1203"
PDAC,67,15,A2601,"A1101,A2601,B3801,B0702,C0702,C1203"
PDAC,68,15,B0702,"A1101,A2601,B3801,B0702,C0702,C1203"
PDAC,69,15,B3801,"A1101,A2601,B3801,B0702,C0702,C1203"
PDAC,70,15,C0702,"A1101,A2601,B3801,B0702,C0702,C1203"
PDAC,71,15,C1203,"A1101,A2601,B3801,B0702,C0702,C1203"
PDAC,72,16,A0101,"A0201,A0101,B0801,B2705,C0701,C0202"
PDAC,73,16,A0201,"A0201,A0101,B0801,B2705,C0701,C0202"
PDAC,74,16,B0801,"A0201,A0101,B0801,B2705,C0701,C0202"
PDAC,75,16,B2705,"A0201,A0101,B0801,B2705,C0701,C0202"
PDAC,76,16,C0202,"A0201,A0101,B0801,B2705,C0701,C0202"
PDAC,77,16,C0701,"A0201,A0101,B0801,B2705,C0701,C0202"
PDAC,78,17,A0101,"A0201,A0101,B0801,B4101,C1701,C0701"
PDAC,79,17,A0201,"A0201,A0101,B0801,B4101,C1701,C0701"
PDAC,80,17,B0801,"A0201,A0101,B0801,B4101,C1701,C0701"
PDAC,81,17,B4101,"A0201,A0101,B0801,B4101,C1701,C0701"
PDAC,82,17,C0701,"A0201,A0101,B0801,B4101,C1701,C0701"
PDAC,83,17,C1701,"A0201,A0101,B0801,B4101,C1701,C0701"
PDAC,84,18,A0101,"A0101,A0101,B0801,B0801,C0701,C0701"
PDAC,85,18,B0801,"A0101,A0101,B0801,B0801,C0701,C0701"
PDAC,86,18,C0701,"A0101,A0101,B0801,B0801,C0701,C0701"
PDAC,87,20,A0201,"A0201,A0301,B0702,B5105,C0702,C0401"
PDAC,88,20,A0301,"A0201,A0301,B0702,B5105,C0702,C0401"
PDAC,89,20,B0702,"A0201,A0301,B0702,B5105,C0702,C0401"
PDAC,90,20,B5105,"A0201,A0301,B0702,B5105,C0702,C0401"
PDAC,91,20,C0401,"A0201,A0301,B0702,B5105,C0702,C0401"
