env_id,allele_environment
0,A2402
1,A2601
2,B3502
3,B3801
4,C0401
5,C1203
6,A0301
7,A3201
8,B0702
9,B3502
10,C0401
11,C0702
12,A0205
13,A3201
14,B4101
15,B5801
16,C0701
17,C1701
18,A3301
19,A6801
20,B1302
21,B1516
22,C0602
23,C1402
24,A0201
25,A0301
26,B0702
27,B3508
28,C0202
29,C0702
30,A0101
31,A6801
32,B0801
33,B4402
34,C0501
35,C0701
36,A0101
37,A2601
38,B3801
39,B5701
40,C0602
41,C1203
42,A0101
43,A3101
44,B4402
45,B5701
46,C0501
47,C0602
48,A0101
49,A0201
50,B5101
51,B5701
52,C0602
53,C1502
54,A1101
55,A6802
56,B1402
57,B5201
58,C0802
59,C1202
60,A0201
61,A6801
62,B0702
63,B3501
64,C0401
65,C0702
66,A1101
67,A2601
68,B0702
69,B3801
70,C0702
71,C1203
72,A0101
73,A0201
74,B0801
75,B2705
76,C0202
77,C0701
78,A0101
79,A0201
80,B0801
81,B4101
82,C0701
83,C1701
84,A0101
85,B0801
86,C0701
87,A0201
88,A0301
89,B0702
90,B5105
91,C0401
92,C0702
