dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_NONSPIKE,nci_best_pr,2,max,0.7276153700369563,0.5690227669241866,1607,692
COVID_NONSPIKE,nci_best_pr,2,mean,0.9163136864714615,0.8544433550957129,1607,692
COVID_NONSPIKE,nci_best_pr,2,median,0.5,0.43061605476042314,1607,692
COVID_NONSPIKE,nci_best_pr,2,logsumexp,0.7371434663128968,0.5882431200756698,1607,692
COVID_NONSPIKE,nci_best_pr,2,logmeanexp,0.7423244575002369,0.5900836318507706,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_frac_mean_frac0p01,0.7980368931425503,0.6380633930251703,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_frac_mean_frac0p02,0.847361729681923,0.6988923390842997,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_frac_mean_frac0p05,0.9149096623393032,0.8360224786344789,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_mean_k2,0.8064081303894627,0.644531502127726,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_mean_k3,0.8522544931930889,0.7083351217312855,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_logsumexp_k2,0.7350413784389905,0.5790630328358133,1607,692
COVID_NONSPIKE,nci_best_pr,2,top_k_logsumexp_k10,0.7409512302978616,0.5877419593872198,1607,692
