dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_NONSPIKE,nci_best_roc,2,max,0.7299543573707319,0.5711065781678089,1607,692
COVID_NONSPIKE,nci_best_roc,2,mean,0.9153613506427872,0.8515152570091544,1607,692
COVID_NONSPIKE,nci_best_roc,2,median,0.5,0.43061605476042314,1607,692
COVID_NONSPIKE,nci_best_roc,2,logsumexp,0.7374451182917969,0.5866320720649242,1607,692
COVID_NONSPIKE,nci_best_roc,2,logmeanexp,0.7425281910357244,0.5888962695179145,1607,692
COVID_NONSPIKE,nci_best_roc,2,top_frac_mean_frac0p01,0.7990989923876307,0.6382064992472807,1607,692
COVID_NONSPIKE,nci_best_roc,2,top_frac_mean_frac0p02,0.8483653937269023,0.6986471918667871,1607,692
COVID_NONSPIKE,nci_best_roc,2,top_frac_mean_frac0p05,0.913951009191699,0.8337950362340993,1607,692
COVID_NONSPIKE,nci_best_roc,2,top_k_mean_k2,0.8080845889004706,0.6459773692081135,1607,692
COVID_NONSPIKE,nci_best_roc,2,top_k_mean_k3,0.8533797656274678,0.707222376867453,1607,692
COVID_NONSPIKE,nci_best_roc,2,top_k_logsumexp_k2,0.7366830916958843,0.578812140741557,1607,692
COVID_NONSPIKE,nci_best_roc,2,top_k_logsumexp_k10,0.7412591995956916,0.586137489536899,1607,692
