dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_NONSPIKE,nci_best_pr,0,max,0.731426292681386,0.5735664139590093,1607,692
COVID_NONSPIKE,nci_best_pr,0,mean,0.9162426166335007,0.8537272331374783,1607,692
COVID_NONSPIKE,nci_best_pr,0,median,0.5,0.43061605476042314,1607,692
COVID_NONSPIKE,nci_best_pr,0,logsumexp,0.7469187276919675,0.6069586906723065,1607,692
COVID_NONSPIKE,nci_best_pr,0,logmeanexp,0.7520705012792571,0.608073789521734,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_frac_mean_frac0p01,0.8006072522821315,0.6413580129209379,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_frac_mean_frac0p02,0.8492419217284185,0.6997401062209785,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_frac_mean_frac0p05,0.9146948734956885,0.8336040388411534,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_k_mean_k2,0.8094554471082472,0.6500457327332371,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_k_mean_k3,0.8540415047853691,0.709341903477028,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_k_logsumexp_k2,0.7434900028427935,0.5919169787478425,1607,692
COVID_NONSPIKE,nci_best_pr,0,top_k_logsumexp_k10,0.7507280710066647,0.6064214130266367,1607,692
