dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_NONSPIKE,nci_best_roc,1,max,0.732250702801731,0.5734103797411483,1607,692
COVID_NONSPIKE,nci_best_roc,1,mean,0.9167337881802963,0.8547031174413289,1607,692
COVID_NONSPIKE,nci_best_roc,1,median,0.5,0.43061605476042314,1607,692
COVID_NONSPIKE,nci_best_roc,1,logsumexp,0.751070785558609,0.6123833784691062,1607,692
COVID_NONSPIKE,nci_best_roc,1,logmeanexp,0.7562288764648283,0.6134863909643364,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_frac_mean_frac0p01,0.8010494646072207,0.6414268568073873,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_frac_mean_frac0p02,0.8491163650146878,0.6997912051344337,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_frac_mean_frac0p05,0.9151749897343567,0.8346045445471095,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_k_mean_k2,0.8096860292491866,0.6495527357896592,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_k_mean_k3,0.8538685681796645,0.7090332286339013,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_k_logsumexp_k2,0.7464386114532993,0.594984073864763,1607,692
COVID_NONSPIKE,nci_best_roc,1,top_k_logsumexp_k10,0.7548817082030387,0.6118827350626135,1607,692
