dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_SPIKE,nci_best_pr,2,max,0.5578568642023822,0.6579535644514624,1765,1159
COVID_SPIKE,nci_best_pr,2,mean,0.65756869043246,0.7598362414442961,1765,1159
COVID_SPIKE,nci_best_pr,2,median,0.5,0.656657223796034,1765,1159
COVID_SPIKE,nci_best_pr,2,logsumexp,0.5344342026955068,0.6618009212148396,1765,1159
COVID_SPIKE,nci_best_pr,2,logmeanexp,0.5557318674058951,0.6647537157878571,1765,1159
COVID_SPIKE,nci_best_pr,2,top_frac_mean_frac0p01,0.5826207297174929,0.6726550663522366,1765,1159
COVID_SPIKE,nci_best_pr,2,top_frac_mean_frac0p02,0.6160504531902715,0.6954496847290319,1765,1159
COVID_SPIKE,nci_best_pr,2,top_frac_mean_frac0p05,0.6550699504808116,0.747299631930894,1765,1159
COVID_SPIKE,nci_best_pr,2,top_k_mean_k2,0.5950795467812527,0.6808373667455685,1765,1159
COVID_SPIKE,nci_best_pr,2,top_k_mean_k3,0.6199153133604991,0.7056373793140436,1765,1159
COVID_SPIKE,nci_best_pr,2,top_k_logsumexp_k2,0.5585068213465005,0.6590721843201458,1765,1159
COVID_SPIKE,nci_best_pr,2,top_k_logsumexp_k10,0.5592279676630303,0.6601123400475168,1765,1159
