dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_SPIKE,nci_best_roc,2,max,0.5648084868883783,0.6654034615983027,1765,1159
COVID_SPIKE,nci_best_roc,2,mean,0.6650271800260268,0.7689447891759338,1765,1159
COVID_SPIKE,nci_best_roc,2,median,0.5,0.656657223796034,1765,1159
COVID_SPIKE,nci_best_roc,2,logsumexp,0.546796914376511,0.6763467886710066,1765,1159
COVID_SPIKE,nci_best_roc,2,logmeanexp,0.5696991830330574,0.6805371486333079,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p01,0.5884205115938687,0.6781878288879346,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p02,0.6217790458942357,0.7034265628024527,1765,1159
COVID_SPIKE,nci_best_roc,2,top_frac_mean_frac0p05,0.6626416308585129,0.756874434385374,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_mean_k2,0.602033305142421,0.6904168374235715,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_mean_k3,0.6244137571651902,0.7116065790967402,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_logsumexp_k2,0.5690898037172138,0.6702342001621678,1765,1159
COVID_SPIKE,nci_best_roc,2,top_k_logsumexp_k10,0.5715956625861033,0.6746580970098307,1765,1159
