dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
COVID_SPIKE,nci_best_roc,1,max,0.5626300982125823,0.6623532655959445,1765,1159
COVID_SPIKE,nci_best_roc,1,mean,0.6636582122405511,0.7671706951940289,1765,1159
COVID_SPIKE,nci_best_roc,1,median,0.5,0.656657223796034,1765,1159
COVID_SPIKE,nci_best_roc,1,logsumexp,0.5428523223331824,0.6717214272856861,1765,1159
COVID_SPIKE,nci_best_roc,1,logmeanexp,0.565198603553194,0.6758891002513009,1765,1159
COVID_SPIKE,nci_best_roc,1,top_frac_mean_frac0p01,0.5858249543677405,0.676202302949483,1765,1159
COVID_SPIKE,nci_best_roc,1,top_frac_mean_frac0p02,0.6199288393032574,0.7014986332757381,1765,1159
COVID_SPIKE,nci_best_roc,1,top_frac_mean_frac0p05,0.6612463230792449,0.7553880458065448,1765,1159
COVID_SPIKE,nci_best_roc,1,top_k_mean_k2,0.5997410137907665,0.6879064010137039,1765,1159
COVID_SPIKE,nci_best_roc,1,top_k_mean_k3,0.6226639273073122,0.7088975215703552,1765,1159
COVID_SPIKE,nci_best_roc,1,top_k_logsumexp_k2,0.5657951688180034,0.6675592164665636,1765,1159
COVID_SPIKE,nci_best_roc,1,top_k_logsumexp_k10,0.5676439516255336,0.6699816124644405,1765,1159
