dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_roc,2,max,0.7052631578947368,0.2452636116399544,213,23
PDAC,nci_best_roc,2,mean,0.4796338672768879,0.09900326843920926,213,23
PDAC,nci_best_roc,2,median,0.49736842105263157,0.107981220657277,213,23
PDAC,nci_best_roc,2,logsumexp,0.6883295194508009,0.1795496263200243,213,23
PDAC,nci_best_roc,2,logmeanexp,0.6764302059496567,0.1999375389564394,213,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p01,0.7064073226544623,0.24651203048736306,213,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p02,0.7162471395881007,0.29105267312334876,213,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p05,0.6540045766590389,0.18706624764204377,213,23
PDAC,nci_best_roc,2,top_k_mean_k2,0.6963386727688787,0.2090449007866741,213,23
PDAC,nci_best_roc,2,top_k_mean_k3,0.6967963386727689,0.21403690483117532,213,23
PDAC,nci_best_roc,2,top_k_logsumexp_k2,0.7077803203661327,0.21887319388601384,213,23
PDAC,nci_best_roc,2,top_k_logsumexp_k10,0.6883295194508009,0.18181323428853308,213,23
