dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_roc,2,max,0.7043478260869566,0.24047018937881506,213,23
PDAC,nci_best_roc,2,mean,0.47116704805491993,0.09768204644988306,213,23
PDAC,nci_best_roc,2,median,0.49736842105263157,0.107981220657277,213,23
PDAC,nci_best_roc,2,logsumexp,0.6832951945080091,0.17337934794686455,213,23
PDAC,nci_best_roc,2,logmeanexp,0.6679633867276887,0.1818754830336825,213,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p01,0.7050343249427917,0.241139124021751,213,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p02,0.7075514874141876,0.2774906550153522,213,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p05,0.6615560640732265,0.1873330091722173,213,23
PDAC,nci_best_roc,2,top_k_mean_k2,0.7011441647597254,0.20497053436603785,213,23
PDAC,nci_best_roc,2,top_k_mean_k3,0.6981693363844393,0.2123806756699844,213,23
PDAC,nci_best_roc,2,top_k_logsumexp_k2,0.7112128146453089,0.2122959450766452,213,23
PDAC,nci_best_roc,2,top_k_logsumexp_k10,0.6842105263157895,0.17674174462371403,213,23
