dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_roc,2,max,0.6949656750572082,0.22683647094076065,213,23
PDAC,nci_best_roc,2,mean,0.4688787185354691,0.09732798025896315,213,23
PDAC,nci_best_roc,2,median,0.49736842105263157,0.107981220657277,213,23
PDAC,nci_best_roc,2,logsumexp,0.6638443935926773,0.16503556788978285,213,23
PDAC,nci_best_roc,2,logmeanexp,0.6244851258581235,0.15881525345305866,213,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p01,0.6958810068649885,0.22881232117748043,213,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p02,0.6869565217391305,0.2306550234464009,213,23
PDAC,nci_best_roc,2,top_frac_mean_frac0p05,0.6237986270022883,0.158695783127041,213,23
PDAC,nci_best_roc,2,top_k_mean_k2,0.6704805491990846,0.17948675051817536,213,23
PDAC,nci_best_roc,2,top_k_mean_k3,0.6656750572082379,0.1935021260225377,213,23
PDAC,nci_best_roc,2,top_k_logsumexp_k2,0.6848970251716248,0.19090787779318208,213,23
PDAC,nci_best_roc,2,top_k_logsumexp_k10,0.6638443935926773,0.16791188032622173,213,23
