dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_pr,2,max,0.6745995423340961,0.21927218172799476,213,23
PDAC,nci_best_pr,2,mean,0.4670480549199085,0.0971386973692847,213,23
PDAC,nci_best_pr,2,median,0.49736842105263157,0.107981220657277,213,23
PDAC,nci_best_pr,2,logsumexp,0.6478260869565218,0.14517267310732407,213,23
PDAC,nci_best_pr,2,logmeanexp,0.5963386727688788,0.13138902936139155,213,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p01,0.6755148741418764,0.219729423731466,213,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p02,0.6919908466819222,0.2652091003673861,213,23
PDAC,nci_best_pr,2,top_frac_mean_frac0p05,0.6308924485125859,0.15685129314438126,213,23
PDAC,nci_best_pr,2,top_k_mean_k2,0.6643020594965675,0.19082392608603682,213,23
PDAC,nci_best_pr,2,top_k_mean_k3,0.6709382151029748,0.1864661569887635,213,23
PDAC,nci_best_pr,2,top_k_logsumexp_k2,0.6711670480549199,0.18712130520586306,213,23
PDAC,nci_best_pr,2,top_k_logsumexp_k10,0.6462242562929061,0.14663304572584845,213,23
