dataset,selector,regime_idx,l2_variant,roc_auc,average_precision,n_endpoints,n_positive
PDAC,nci_best_roc,1,max,0.6677345537757438,0.2154178142032372,213,23
PDAC,nci_best_roc,1,mean,0.4679633867276888,0.09722685399421661,213,23
PDAC,nci_best_roc,1,median,0.49736842105263157,0.107981220657277,213,23
PDAC,nci_best_roc,1,logsumexp,0.6379862700228833,0.14239627384244444,213,23
PDAC,nci_best_roc,1,logmeanexp,0.5668192219679634,0.12283230209760998,213,23
PDAC,nci_best_roc,1,top_frac_mean_frac0p01,0.6688787185354691,0.21652829262156725,213,23
PDAC,nci_best_roc,1,top_frac_mean_frac0p02,0.6823798627002289,0.2525332958462399,213,23
PDAC,nci_best_roc,1,top_frac_mean_frac0p05,0.5956521739130435,0.14977815581207302,213,23
PDAC,nci_best_roc,1,top_k_mean_k2,0.6359267734553776,0.1728779003809449,213,23
PDAC,nci_best_roc,1,top_k_mean_k3,0.6604118993135012,0.18747201464333527,213,23
PDAC,nci_best_roc,1,top_k_logsumexp_k2,0.6418764302059496,0.17407196753997906,213,23
PDAC,nci_best_roc,1,top_k_logsumexp_k10,0.6356979405034325,0.14290977023282228,213,23
