endpoint_id,score_focal_hla__pr__regime_1225,score_focal_hla__pr__regime_1400,score_focal_hla__pr__regime_1451,score_focal_hla__pr__regime_1452,score_focal_hla__pr__regime_1775,score_focal_hla__pr__regime_1925,score_focal_hla__pr__regime_1926,score_focal_hla__pr__regime_2100,score_focal_hla__pr__regime_2101,score_focal_hla__pr__regime_2127,score_focal_hla__pr__regime_2153,score_focal_hla__pr__regime_2154,score_focal_hla__pr__regime_2275,score_focal_hla__pr__regime_2450,score_focal_hla__pr__regime_2451,score_focal_hla__pr__regime_2502,score_focal_hla__pr__regime_2625,score_focal_hla__pr__regime_2627,score_focal_hla__pr__regime_2676,score_focal_hla__pr__regime_725
nci_obs_000000,-0.5491585731506348,-0.6129765510559082,-0.5189246535301208,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.694546103477478,-0.5932626128196716,-0.5212273597717285,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188846588134766,-0.5188746452331543,-0.5188746452331543,-0.5496187210083008
nci_obs_000001,5.149109363555908,5.824960708618164,5.825230598449707,5.825230598449707,5.825230598449707,5.825230598449707,5.825230598449707,6.4867987632751465,6.488229751586914,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,5.149109363555908
nci_obs_000002,-0.8755968809127808,-1.0692256689071655,-0.9441289305686951,-0.8811846971511841,-0.8751968145370483,-0.8757069110870361,-0.8751968145370483,-1.2170394659042358,-0.9532340168952942,-0.8799681663513184,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8752068281173706,-0.8751968145370483,-0.8751968145370483,-0.8757769465446472,-0.8751968145370483,-0.8751968145370483,-1.095476746559143
nci_obs_000003,-1.1635347604751587,-1.400637149810791,-1.2029168605804443,-1.1684987545013428,-1.1632148027420044,-1.1634248495101929,-1.1632148027420044,-1.4673078060150146,-1.254239559173584,-1.2042710781097412,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632248163223267,-1.1632148027420044,-1.1632148027420044,-1.1636148691177368,-1.1632148027420044,-1.1632148027420044,-1.2296669483184814
nci_obs_000004,-1.0380183458328247,-2.08461856842041,-2.0719919204711914,-2.070681095123291,-1.0066522359848022,-1.0850707292556763,-1.0149389505386353,-1.7567304372787476,-1.7241127490997314,-1.7211878299713135,-1.7209477424621582,-1.302752137184143,-1.0066722631454468,-1.0152113437652588,-1.0065321922302246,-1.006352186203003,-1.203121542930603,-1.011696457862854,-1.0162409543991089,-2.492650270462036
nci_obs_000005,-1.4140442609786987,-1.6292428970336914,-1.5779341459274292,-1.57003653049469,-1.1027950048446655,-1.5696862936019897,-1.3261096477508545,-1.4594918489456177,-1.3436356782913208,-1.3218837976455688,-1.3173636198043823,-1.3173636198043823,-1.083206295967102,-1.1775505542755127,-1.0926746129989624,-1.081815242767334,-1.318534255027771,-1.3173636198043823,-1.3173736333847046,-1.9372715950012207
nci_obs_000006,-1.046802043914795,-2.697929620742798,-2.296995162963867,-1.5744065046310425,-0.9517123699188232,-1.1329020261764526,-0.9671147465705872,-2.271216869354248,-2.26416015625,-2.263890266418457,-1.050308346748352,-0.9494598507881165,-0.9507206082344055,-0.9832338094711304,-0.9501500725746155,-0.9494598507881165,-1.272202730178833,-0.9538695812225342,-1.014563798904419,-2.60970139503479
nci_obs_000007,-0.49131208658218384,-0.769168496131897,-0.5374761819839478,-0.5079278945922852,-0.48921090364456177,-0.49135300517082214,-0.4892408847808838,-1.3048677444458008,-0.8088700175285339,-0.5269457101821899,-0.48925089836120605,-0.48921090364456177,-0.48921090364456177,-0.48925089836120605,-0.48921090364456177,-0.48921090364456177,-0.49111202359199524,-0.48921090364456177,-0.48921090364456177,-0.680230438709259
nci_obs_000008,-6.512381553649902,-5.65784215927124,-5.65784215927124,-5.65784215927124,-5.65784215927124,-5.65784215927124,-5.65784215927124,-4.887947082519531,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-6.512381553649902
nci_obs_000009,-1.0946316719055176,-0.8965066075325012,-0.8390232920646667,-0.8386232256889343,-0.8386232256889343,-0.8389132618904114,-0.8386232256889343,-0.8389463424682617,-0.6894548535346985,-0.6668915152549744,-0.6659610271453857,-0.6659610271453857,-0.6659610271453857,-0.66600102186203,-0.6659610271453857,-0.6659610271453857,-0.666631281375885,-0.6659610271453857,-0.6659610271453857,-1.1014456748962402
