ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
1,1,selected,focal_hla__pr__regime_2625,2625,105,0,105,15,9,0.5,0.75,1,1,0.9538047846889952,0.5195547792673862
2,,duplicate_biological_key,focal_hla__pr__regime_2625,2675,107,0,107,15,9,0.5,2,1,1,0.9537531100478469,0.5191776484634401
3,,duplicate_biological_key,focal_hla__pr__regime_2625,2650,106,0,106,15,9,0.5,1.38,1,1,0.9537684210526316,0.5190651768478295
4,2,selected,focal_hla__pr__regime_2100,2100,84,0,84,15,13.5,0.5,0.75,1,1,0.9536507177033493,0.517835988841202
5,,duplicate_biological_key,focal_hla__pr__regime_2100,2125,85,0,85,15,13.5,0.5,1.38,1,1,0.953311961722488,0.516268429785702
6,3,selected,focal_hla__pr__regime_2450,2450,98,0,98,15,6.75,0.5,0.75,1,1,0.9531894736842105,0.5135398978226084
7,,duplicate_biological_key,focal_hla__pr__regime_2100,2150,86,0,86,15,13.5,0.5,2,1,1,0.9531588516746411,0.5132443280838026
8,,duplicate_biological_key,focal_hla__pr__regime_2625,2700,108,0,108,15,9,1.33,2,1,1,0.9518153110047847,0.5129401801309518
9,,duplicate_biological_key,focal_hla__pr__regime_2625,2725,109,0,109,15,9,1.33,3.67,1,1,0.9518114832535886,0.5125661188176369
10,,duplicate_biological_key,focal_hla__pr__regime_2625,2775,111,0,111,15,9,3,4.5,1,1,0.9513033492822967,0.512488868988541
11,,duplicate_biological_key,focal_hla__pr__regime_2450,2500,100,0,100,15,6.75,0.5,2,1,1,0.9531531100478469,0.5123083684432151
12,,duplicate_biological_key,focal_hla__pr__regime_2450,2475,99,0,99,15,6.75,0.5,1.38,1,1,0.9531626794258373,0.5119681061074408
13,,duplicate_biological_key,focal_hla__pr__regime_2625,2750,110,0,110,15,9,2.17,3.25,1,1,0.9514105263157895,0.5117929953643212
14,4,selected,focal_hla__pr__regime_1925,1925,77,0,77,13.89,8.33,0.5,0.75,1,1,0.9514248803827752,0.5116896103281485
15,,duplicate_biological_key,focal_hla__pr__regime_1925,1950,78,0,78,13.89,8.33,0.5,1.38,1,1,0.951444019138756,0.5109366330378132
16,,duplicate_biological_key,focal_hla__pr__regime_1925,1975,79,0,79,13.89,8.33,0.5,2,1,1,0.9514832535885167,0.5108680499112659
17,5,selected,focal_hla__pr__regime_2676,2676,107,1,107,15,9,0.5,2,1,2,0.9529684210526316,0.5089441901338353
18,,duplicate_biological_key,focal_hla__pr__regime_2676,2651,106,1,106,15,9,0.5,1.38,1,2,0.9529311004784689,0.508664306589147
19,6,selected,focal_hla__pr__regime_1400,1400,56,0,56,13.89,12.5,0.5,0.75,1,1,0.9521234449760766,0.5078394190953899
20,,duplicate_biological_key,focal_hla__pr__regime_2676,2626,105,1,105,15,9,0.5,0.75,1,2,0.9528727272727273,0.5073103788090972
21,,duplicate_biological_key,focal_hla__pr__regime_1400,1425,57,0,57,13.89,12.5,0.5,1.38,1,1,0.9520267942583732,0.506604416133395
22,,duplicate_biological_key,focal_hla__pr__regime_2450,2550,102,0,102,15,6.75,1.33,3.67,1,1,0.9512631578947368,0.5063163447879951
23,,duplicate_biological_key,focal_hla__pr__regime_2450,2525,101,0,101,15,6.75,1.33,2,1,1,0.9512602870813397,0.5060444229939326
24,,duplicate_biological_key,focal_hla__pr__regime_2450,2600,104,0,104,15,6.75,3,4.5,1,1,0.9507406698564593,0.506002457464237
25,,duplicate_biological_key,focal_hla__pr__regime_1400,1450,58,0,58,13.89,12.5,0.5,2,1,1,0.952,0.5059877968214467
26,,duplicate_biological_key,focal_hla__pr__regime_2450,2575,103,0,103,15,6.75,2.17,3.25,1,1,0.9508870813397129,0.5057487755554197
27,7,selected,focal_hla__pr__regime_2101,2101,84,1,84,15,13.5,0.5,0.75,1,2,0.9530325358851675,0.5050080886438761
28,,duplicate_biological_key,focal_hla__pr__regime_1925,2000,80,0,80,13.89,8.33,1.33,2,1,1,0.9492631578947368,0.5049280934773271
29,,duplicate_biological_key,focal_hla__pr__regime_2101,2126,85,1,85,15,13.5,0.5,1.38,1,2,0.9529301435406698,0.5048419388463755
30,,duplicate_biological_key,focal_hla__pr__regime_1925,2025,81,0,81,13.89,8.33,1.33,3.67,1,1,0.9492832535885167,0.5045368618970282
31,,duplicate_biological_key,focal_hla__pr__regime_1925,2075,83,0,83,13.89,8.33,3,4.5,1,1,0.9487387559808612,0.5041653232309319
