ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
1,1,selected,full_hla__pr__regime_2625,2625,105,0,105,15,9,0.5,0.75,1,1,0.9613368421052632,0.5500650365868047
2,,duplicate_biological_key,full_hla__pr__regime_2625,2675,107,0,107,15,9,0.5,2,1,1,0.9613148325358851,0.5498939422435071
3,,duplicate_biological_key,full_hla__pr__regime_2625,2650,106,0,106,15,9,0.5,1.38,1,1,0.9612976076555024,0.5497014549727453
4,2,selected,full_hla__pr__regime_2100,2100,84,0,84,15,13.5,0.5,0.75,1,1,0.9580315789473685,0.548538857668802
5,,duplicate_biological_key,full_hla__pr__regime_2100,2125,85,0,85,15,13.5,0.5,1.38,1,1,0.9579062200956938,0.5478804925813114
6,,duplicate_biological_key,full_hla__pr__regime_2100,2150,86,0,86,15,13.5,0.5,2,1,1,0.9578612440191387,0.5470181751613757
7,3,selected,full_hla__pr__regime_1950,1950,78,0,78,13.89,8.33,0.5,1.38,1,1,0.9598803827751197,0.5439761684284756
8,4,selected,full_hla__pr__regime_2450,2450,98,0,98,15,6.75,0.5,0.75,1,1,0.9605703349282296,0.5439414951763877
9,,duplicate_biological_key,full_hla__pr__regime_2450,2475,99,0,99,15,6.75,0.5,1.38,1,1,0.9605387559808612,0.543263353866995
10,,duplicate_biological_key,full_hla__pr__regime_1950,1925,77,0,77,13.89,8.33,0.5,0.75,1,1,0.9598516746411483,0.5431139443778589
11,,duplicate_biological_key,full_hla__pr__regime_2450,2500,100,0,100,15,6.75,0.5,2,1,1,0.9605205741626794,0.5430634326421038
12,,duplicate_biological_key,full_hla__pr__regime_1950,1975,79,0,79,13.89,8.33,0.5,2,1,1,0.9598985645933015,0.5422947927420906
13,,duplicate_biological_key,full_hla__pr__regime_2625,2700,108,0,108,15,9,1.33,2,1,1,0.9596842105263158,0.5420443989698359
14,,duplicate_biological_key,full_hla__pr__regime_2625,2725,109,0,109,15,9,1.33,3.67,1,1,0.9596870813397129,0.5420126471594293
15,,duplicate_biological_key,full_hla__pr__regime_2625,2750,110,0,110,15,9,2.17,3.25,1,1,0.9593282296650718,0.5401385910935785
16,5,selected,full_hla__pr__regime_2676,2676,107,1,107,15,9,0.5,2,1,2,0.9604698564593301,0.539906270412496
17,,duplicate_biological_key,full_hla__pr__regime_2625,2775,111,0,111,15,9,3,4.5,1,1,0.9591990430622009,0.5398177599800315
