ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
1,1,selected,full_q_mono_pn__roc__regime_2625,2625,105,0,105,15,9,0.5,0.75,1,1,0.9613301435406698,0.5532821042527565
2,,duplicate_biological_key,full_q_mono_pn__roc__regime_2625,2650,106,0,106,15,9,0.5,1.38,1,1,0.9612114832535885,0.5517421115855726
3,,duplicate_biological_key,full_q_mono_pn__roc__regime_2625,2675,107,0,107,15,9,0.5,2,1,1,0.9611875598086125,0.5508454526253825
4,2,selected,full_q_mono_pn__roc__regime_2500,2500,100,0,100,15,6.75,0.5,2,1,1,0.9611043062200957,0.5429581012312925
5,,duplicate_biological_key,full_q_mono_pn__roc__regime_2500,2475,99,0,99,15,6.75,0.5,1.38,1,1,0.9610717703349282,0.5425909827700915
6,,duplicate_biological_key,full_q_mono_pn__roc__regime_2500,2450,98,0,98,15,6.75,0.5,0.75,1,1,0.9609942583732057,0.5433278543068042
7,3,selected,full_q_mono_pn__roc__regime_1925,1925,77,0,77,13.89,8.33,0.5,0.75,1,1,0.9605574162679426,0.5523182014855469
8,4,selected,full_q_mono_pn__roc__regime_2626,2626,105,1,105,15,9,0.5,0.75,1,2,0.9604526315789473,0.5358114491638343
9,,duplicate_biological_key,full_q_mono_pn__roc__regime_2626,2651,106,1,106,15,9,0.5,1.38,1,2,0.9604057416267943,0.5337692495085953
10,,duplicate_biological_key,full_q_mono_pn__roc__regime_2626,2676,107,1,107,15,9,0.5,2,1,2,0.9603952153110048,0.5336937065163414
11,,duplicate_biological_key,full_q_mono_pn__roc__regime_1925,1950,78,0,78,13.89,8.33,0.5,1.38,1,1,0.960267942583732,0.549126600908832
12,5,selected,full_q_mono_pn__roc__regime_2275,2275,91,0,91,15,4.5,0.5,0.75,1,1,0.960155023923445,0.5314006401214079
13,,duplicate_biological_key,full_q_mono_pn__roc__regime_1925,1975,79,0,79,13.89,8.33,0.5,2,1,1,0.9600937799043062,0.5467474097224412
14,,duplicate_biological_key,full_q_mono_pn__roc__regime_2275,2300,92,0,92,15,4.5,0.5,1.38,1,1,0.9600239234449761,0.5284579550102472
