ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
1,1,selected,mono_q_full_pn__pr__regime_2625,2625,105,0,105,15,9,0.5,0.75,1,1,0.9643263157894737,0.5828805575799831
2,,duplicate_biological_key,mono_q_full_pn__pr__regime_2625,2650,106,0,106,15,9,0.5,1.38,1,1,0.964266985645933,0.5801431814966057
3,,duplicate_biological_key,mono_q_full_pn__pr__regime_2625,2675,107,0,107,15,9,0.5,2,1,1,0.9642066985645933,0.5790070361198388
4,2,selected,mono_q_full_pn__pr__regime_2450,2450,98,0,98,15,6.75,0.5,0.75,1,1,0.9633808612440191,0.5726692747315837
5,3,selected,mono_q_full_pn__pr__regime_2100,2100,84,0,84,15,13.5,0.5,0.75,1,1,0.9556593301435407,0.5705885259691241
6,,duplicate_biological_key,mono_q_full_pn__pr__regime_2450,2475,99,0,99,15,6.75,0.5,1.38,1,1,0.9632258373205742,0.5700715345944432
7,,duplicate_biological_key,mono_q_full_pn__pr__regime_2450,2500,100,0,100,15,6.75,0.5,2,1,1,0.963131100478469,0.5697805660435309
8,,duplicate_biological_key,mono_q_full_pn__pr__regime_2625,2700,108,0,108,15,9,1.33,2,1,1,0.9615607655502393,0.5694643775362628
9,,duplicate_biological_key,mono_q_full_pn__pr__regime_2625,2725,109,0,109,15,9,1.33,3.67,1,1,0.9615827751196172,0.5690494314140451
10,,duplicate_biological_key,mono_q_full_pn__pr__regime_2625,2750,110,0,110,15,9,2.17,3.25,1,1,0.9609933014354067,0.5675833472458097
11,,duplicate_biological_key,mono_q_full_pn__pr__regime_2625,2775,111,0,111,15,9,3,4.5,1,1,0.9606574162679425,0.5665955486294123
12,,duplicate_biological_key,mono_q_full_pn__pr__regime_2100,2125,85,0,85,15,13.5,0.5,1.38,1,1,0.9551866028708134,0.5650060641429355
13,,duplicate_biological_key,mono_q_full_pn__pr__regime_2450,2550,102,0,102,15,6.75,1.33,3.67,1,1,0.960644019138756,0.5617297489755243
14,,duplicate_biological_key,mono_q_full_pn__pr__regime_2450,2575,103,0,103,15,6.75,2.17,3.25,1,1,0.9600631578947368,0.5609941483987977
15,,duplicate_biological_key,mono_q_full_pn__pr__regime_2100,2150,86,0,86,15,13.5,0.5,2,1,1,0.9548392344497608,0.5608304685727838
16,,duplicate_biological_key,mono_q_full_pn__pr__regime_2450,2600,104,0,104,15,6.75,3,4.5,1,1,0.9597822966507177,0.5606450438993046
17,,duplicate_biological_key,mono_q_full_pn__pr__regime_2450,2525,101,0,101,15,6.75,1.33,2,1,1,0.9606086124401914,0.5605626785998845
18,4,selected,mono_q_full_pn__pr__regime_2101,2101,84,1,84,15,13.5,0.5,0.75,1,2,0.9568334928229665,0.560426737699055
19,5,selected,mono_q_full_pn__pr__regime_1925,1925,77,0,77,13.89,8.33,0.5,0.75,1,1,0.961222009569378,0.5603637475606901
20,,duplicate_biological_key,mono_q_full_pn__pr__regime_1925,1950,78,0,78,13.89,8.33,0.5,1.38,1,1,0.9611808612440191,0.558139827412287
21,,duplicate_biological_key,mono_q_full_pn__pr__regime_1925,1975,79,0,79,13.89,8.33,0.5,2,1,1,0.9611684210526316,0.5577745843334836
22,6,selected,mono_q_full_pn__pr__regime_2676,2676,107,1,107,15,9,0.5,2,1,2,0.9627875598086124,0.5548371039517105
23,,duplicate_biological_key,mono_q_full_pn__pr__regime_2676,2651,106,1,106,15,9,0.5,1.38,1,2,0.9627502392344498,0.5538450276066258
24,7,selected,mono_q_full_pn__pr__regime_2630,2630,105,5,105,15,9,0.5,0.75,2,1,0.9556181818181818,0.5532692279591762
25,8,selected,mono_q_full_pn__pr__regime_1400,1400,56,0,56,13.89,12.5,0.5,0.75,1,1,0.9571425837320574,0.5520759327430431
26,9,selected,mono_q_full_pn__pr__regime_2275,2275,91,0,91,15,4.5,0.5,0.75,1,1,0.9622842105263157,0.551920303315668
27,,duplicate_biological_key,mono_q_full_pn__pr__regime_2676,2626,105,1,105,15,9,0.5,0.75,1,2,0.9626736842105263,0.5517086289978345
28,,duplicate_biological_key,mono_q_full_pn__pr__regime_2101,2126,85,1,85,15,13.5,0.5,1.38,1,2,0.9563617224880383,0.5508338382072923
29,,duplicate_biological_key,mono_q_full_pn__pr__regime_2101,2151,86,1,86,15,13.5,0.5,2,1,2,0.9560784688995215,0.54954684402756
30,,duplicate_biological_key,mono_q_full_pn__pr__regime_2630,2655,106,5,106,15,9,0.5,1.38,2,1,0.9555129186602871,0.5493898921585186
31,10,selected,mono_q_full_pn__pr__regime_1750,1750,70,0,70,13.89,6.25,0.5,0.75,1,1,0.9600832535885168,0.5485070849349206
32,,duplicate_biological_key,mono_q_full_pn__pr__regime_2630,2680,107,5,107,15,9,0.5,2,2,1,0.9554555023923444,0.5481215815676131
33,,duplicate_biological_key,mono_q_full_pn__pr__regime_2676,2726,109,1,109,15,9,1.33,3.67,1,2,0.9603736842105263,0.5478166144437998
34,,duplicate_biological_key,mono_q_full_pn__pr__regime_2676,2751,110,1,110,15,9,2.17,3.25,1,2,0.9598177033492823,0.5473738108381054
35,,duplicate_biological_key,mono_q_full_pn__pr__regime_2676,2776,111,1,111,15,9,3,4.5,1,2,0.9595124401913876,0.5467653699134368
36,,duplicate_biological_key,mono_q_full_pn__pr__regime_1925,2025,81,0,81,13.89,8.33,1.33,3.67,1,1,0.9560047846889952,0.5463388072169061
37,,duplicate_biological_key,mono_q_full_pn__pr__regime_2676,2701,108,1,108,15,9,1.33,2,1,2,0.9602717703349283,0.5462490416986847
38,11,selected,mono_q_full_pn__pr__regime_2455,2455,98,5,98,15,6.75,0.5,0.75,2,1,0.9547598086124401,0.5455904991512296
39,,duplicate_biological_key,mono_q_full_pn__pr__regime_1925,2075,83,0,83,13.89,8.33,3,4.5,1,1,0.9545454545454546,0.5454220102807031
40,,duplicate_biological_key,mono_q_full_pn__pr__regime_1925,2050,82,0,82,13.89,8.33,2.17,3.25,1,1,0.9548239234449761,0.5451968704923021
41,,duplicate_biological_key,mono_q_full_pn__pr__regime_2275,2300,92,0,92,15,4.5,0.5,1.38,1,1,0.9620019138755981,0.5446268681170936
42,,duplicate_biological_key,mono_q_full_pn__pr__regime_1925,2000,80,0,80,13.89,8.33,1.33,2,1,1,0.9559904306220096,0.5446168727880265
43,12,selected,mono_q_full_pn__pr__regime_2102,2102,84,2,84,15,13.5,0.5,0.75,1,3,0.9586794258373206,0.5438068909831402
44,,duplicate_biological_key,mono_q_full_pn__pr__regime_2275,2325,93,0,93,15,4.5,0.5,2,1,1,0.9619205741626794,0.5432374588554686
45,,duplicate_biological_key,mono_q_full_pn__pr__regime_2455,2505,100,5,100,15,6.75,0.5,2,2,1,0.9546555023923445,0.5429855590698038
46,,duplicate_biological_key,mono_q_full_pn__pr__regime_2455,2480,99,5,99,15,6.75,0.5,1.38,2,1,0.9547167464114833,0.5428226392305434
47,,duplicate_biological_key,mono_q_full_pn__pr__regime_2102,2127,85,2,85,15,13.5,0.5,1.38,1,3,0.9583387559808613,0.5427249448251653
48,13,selected,mono_q_full_pn__pr__regime_2677,2677,107,2,107,15,9,0.5,2,1,3,0.9618435406698564,0.5423940442214277
49,,duplicate_biological_key,mono_q_full_pn__pr__regime_1750,1775,71,0,71,13.89,6.25,0.5,1.38,1,1,0.9599215311004785,0.5418054297415786
50,,duplicate_biological_key,mono_q_full_pn__pr__regime_2677,2652,106,2,106,15,9,0.5,1.38,1,3,0.9617779904306221,0.5412893240088601
51,14,selected,mono_q_full_pn__pr__regime_1225,1225,49,0,49,12.78,7.67,0.5,0.75,1,1,0.9567885167464115,0.5410985810885588
52,,duplicate_biological_key,mono_q_full_pn__pr__regime_2100,2175,87,0,87,15,13.5,1.33,2,1,1,0.9534602870813397,0.540998974428676
53,,duplicate_biological_key,mono_q_full_pn__pr__regime_2102,2152,86,2,86,15,13.5,0.5,2,1,3,0.9578172248803828,0.5404849385928926
54,,duplicate_biological_key,mono_q_full_pn__pr__regime_2677,2627,105,2,105,15,9,0.5,0.75,1,3,0.9618177033492823,0.5400377447213425
55,,duplicate_biological_key,mono_q_full_pn__pr__regime_1750,1800,72,0,72,13.89,6.25,0.5,2,1,1,0.9599114832535885,0.5395674019441129
