ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
1,1,selected,mono_q_full_pn__roc__regime_2625,2625,105,0,105,15,9,0.5,0.75,1,1,0.9643263157894737,0.5828805575799831
2,,duplicate_biological_key,mono_q_full_pn__roc__regime_2625,2650,106,0,106,15,9,0.5,1.38,1,1,0.964266985645933,0.5801431814966057
3,,duplicate_biological_key,mono_q_full_pn__roc__regime_2625,2675,107,0,107,15,9,0.5,2,1,1,0.9642066985645933,0.5790070361198388
4,2,selected,mono_q_full_pn__roc__regime_2450,2450,98,0,98,15,6.75,0.5,0.75,1,1,0.9633808612440191,0.5726692747315837
5,,duplicate_biological_key,mono_q_full_pn__roc__regime_2450,2475,99,0,99,15,6.75,0.5,1.38,1,1,0.9632258373205742,0.5700715345944432
6,,duplicate_biological_key,mono_q_full_pn__roc__regime_2450,2500,100,0,100,15,6.75,0.5,2,1,1,0.963131100478469,0.5697805660435309
7,3,selected,mono_q_full_pn__roc__regime_2676,2676,107,1,107,15,9,0.5,2,1,2,0.9627875598086124,0.5548371039517105
8,,duplicate_biological_key,mono_q_full_pn__roc__regime_2676,2651,106,1,106,15,9,0.5,1.38,1,2,0.9627502392344498,0.5538450276066258
9,,duplicate_biological_key,mono_q_full_pn__roc__regime_2676,2626,105,1,105,15,9,0.5,0.75,1,2,0.9626736842105263,0.5517086289978345
10,4,selected,mono_q_full_pn__roc__regime_2275,2275,91,0,91,15,4.5,0.5,0.75,1,1,0.9622842105263157,0.551920303315668
11,,duplicate_biological_key,mono_q_full_pn__roc__regime_2275,2300,92,0,92,15,4.5,0.5,1.38,1,1,0.9620019138755981,0.5446268681170936
12,,duplicate_biological_key,mono_q_full_pn__roc__regime_2275,2325,93,0,93,15,4.5,0.5,2,1,1,0.9619205741626794,0.5432374588554686
13,5,selected,mono_q_full_pn__roc__regime_2677,2677,107,2,107,15,9,0.5,2,1,3,0.9618435406698564,0.5423940442214277
14,,duplicate_biological_key,mono_q_full_pn__roc__regime_2677,2627,105,2,105,15,9,0.5,0.75,1,3,0.9618177033492823,0.5400377447213425
15,,duplicate_biological_key,mono_q_full_pn__roc__regime_2677,2652,106,2,106,15,9,0.5,1.38,1,3,0.9617779904306221,0.5412893240088601
16,6,selected,mono_q_full_pn__roc__regime_2476,2476,99,1,99,15,6.75,0.5,1.38,1,2,0.9616153110047847,0.5346197907057952
17,,duplicate_biological_key,mono_q_full_pn__roc__regime_2476,2501,100,1,100,15,6.75,0.5,2,1,2,0.961588995215311,0.533849494523
18,,duplicate_biological_key,mono_q_full_pn__roc__regime_2625,2725,109,0,109,15,9,1.33,3.67,1,1,0.9615827751196172,0.5690494314140451
19,,duplicate_biological_key,mono_q_full_pn__roc__regime_2476,2451,98,1,98,15,6.75,0.5,0.75,1,2,0.9615765550239235,0.5354849318897406
20,,duplicate_biological_key,mono_q_full_pn__roc__regime_2625,2700,108,0,108,15,9,1.33,2,1,1,0.9615607655502393,0.5694643775362628
21,7,selected,mono_q_full_pn__roc__regime_2128,2128,85,3,85,15,13.5,0.5,1.38,1,8,0.9614320574162679,0.5300585591078487
22,,duplicate_biological_key,mono_q_full_pn__roc__regime_2128,2103,84,3,84,15,13.5,0.5,0.75,1,8,0.9613454545454545,0.5286947202462552
