ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
1,1,selected,old_monoallelic__pr__regime_1925,1925,77,0,77,13.89,8.33,0.5,0.75,1,1,0.9616401913875599,0.5879886700593875
2,2,selected,old_monoallelic__pr__regime_1225,1225,49,0,49,12.78,7.67,0.5,0.75,1,1,0.9600507177033493,0.5846540683022259
3,3,selected,old_monoallelic__pr__regime_2455,2455,98,5,98,15,6.75,0.5,0.75,2,1,0.9570076555023923,0.5822370844172102
4,4,selected,old_monoallelic__pr__regime_1750,1750,70,0,70,13.89,6.25,0.5,0.75,1,1,0.9620717703349282,0.5815001218594389
5,5,selected,old_monoallelic__pr__regime_2450,2450,98,0,98,15,6.75,0.5,0.75,1,1,0.9639741626794258,0.5813957353142416
6,6,selected,old_monoallelic__pr__regime_2625,2625,105,0,105,15,9,0.5,0.75,1,1,0.9625234449760766,0.5813319568760977
7,7,selected,old_monoallelic__pr__regime_2630,2630,105,5,105,15,9,0.5,0.75,2,1,0.954354066985646,0.5809181536024944
8,,duplicate_biological_key,old_monoallelic__pr__regime_1925,1950,78,0,78,13.89,8.33,0.5,1.38,1,1,0.9614794258373206,0.5779257438570865
9,,duplicate_biological_key,old_monoallelic__pr__regime_2450,2475,99,0,99,15,6.75,0.5,1.38,1,1,0.9638038277511962,0.5770491727073289
10,,duplicate_biological_key,old_monoallelic__pr__regime_2450,2500,100,0,100,15,6.75,0.5,2,1,1,0.9637641148325359,0.5759681907696692
11,8,selected,old_monoallelic__pr__regime_2460,2460,98,10,98,15,6.75,0.5,0.75,3,1,0.9469339712918661,0.5747461169943854
12,,duplicate_biological_key,old_monoallelic__pr__regime_1925,1975,79,0,79,13.89,8.33,0.5,2,1,1,0.9612622009569378,0.5745377146320632
13,,duplicate_biological_key,old_monoallelic__pr__regime_1225,1250,50,0,50,12.78,7.67,0.5,1.38,1,1,0.9598564593301435,0.5744468232772131
14,9,selected,old_monoallelic__pr__regime_1930,1930,77,5,77,13.89,8.33,0.5,0.75,2,1,0.9509904306220096,0.5740251037458822
15,,duplicate_biological_key,old_monoallelic__pr__regime_2625,2650,106,0,106,15,9,0.5,1.38,1,1,0.9624373205741626,0.5727796671108824
16,,duplicate_biological_key,old_monoallelic__pr__regime_1750,1775,71,0,71,13.89,6.25,0.5,1.38,1,1,0.961488038277512,0.5724729263390474
17,,duplicate_biological_key,old_monoallelic__pr__regime_2455,2480,99,5,99,15,6.75,0.5,1.38,2,1,0.9566,0.5724362117322023
18,,duplicate_biological_key,old_monoallelic__pr__regime_2455,2505,100,5,100,15,6.75,0.5,2,2,1,0.956588995215311,0.5721442847160801
19,10,selected,old_monoallelic__pr__regime_2635,2635,105,10,105,15,9,0.5,0.75,3,1,0.944066985645933,0.5720415798144491
20,,duplicate_biological_key,old_monoallelic__pr__regime_1225,1275,51,0,51,12.78,7.67,0.5,2,1,1,0.9596612440191388,0.5717120451997362
21,,duplicate_biological_key,old_monoallelic__pr__regime_2625,2675,107,0,107,15,9,0.5,2,1,1,0.9623435406698565,0.5703563009154328
22,11,selected,old_monoallelic__pr__regime_1050,1050,42,0,42,12.78,5.75,0.5,0.75,1,1,0.9594363636363636,0.5700772196852691
23,,duplicate_biological_key,old_monoallelic__pr__regime_1750,1800,72,0,72,13.89,6.25,0.5,2,1,1,0.9612693779904307,0.5695689477586497
24,12,selected,old_monoallelic__pr__regime_1755,1755,70,5,70,13.89,6.25,0.5,0.75,2,1,0.951711004784689,0.5693227540743659
25,,duplicate_biological_key,old_monoallelic__pr__regime_2450,2550,102,0,102,15,6.75,1.33,3.67,1,1,0.9607564593301435,0.5679487569960848
26,,duplicate_biological_key,old_monoallelic__pr__regime_2630,2655,106,5,106,15,9,0.5,1.38,2,1,0.9544928229665072,0.5676974923765142
27,,duplicate_biological_key,old_monoallelic__pr__regime_2450,2525,101,0,101,15,6.75,1.33,2,1,1,0.9608459330143541,0.5668210443303036
28,,duplicate_biological_key,old_monoallelic__pr__regime_1925,2000,80,0,80,13.89,8.33,1.33,2,1,1,0.9578755980861244,0.5660839391224113
29,,duplicate_biological_key,old_monoallelic__pr__regime_2450,2575,103,0,103,15,6.75,2.17,3.25,1,1,0.9604186602870813,0.5659203457547037
30,,duplicate_biological_key,old_monoallelic__pr__regime_2450,2600,104,0,104,15,6.75,3,4.5,1,1,0.9602081339712919,0.5653084351636459
31,,duplicate_biological_key,old_monoallelic__pr__regime_1925,2025,81,0,81,13.89,8.33,1.33,3.67,1,1,0.9576588516746412,0.5646070928116256
32,,duplicate_biological_key,old_monoallelic__pr__regime_2460,2485,99,10,99,15,6.75,0.5,1.38,3,1,0.9467387559808612,0.5641710238288606
33,,duplicate_biological_key,old_monoallelic__pr__regime_1925,2075,83,0,83,13.89,8.33,3,4.5,1,1,0.9569612440191387,0.5634176817461617
34,,duplicate_biological_key,old_monoallelic__pr__regime_1930,1955,78,5,78,13.89,8.33,0.5,1.38,2,1,0.9506880382775119,0.5632926510983464
