evaluation_id,exact_vector_identical,rank_equivalent,system_a,system_b
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_1400
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_1451
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_1452
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_1775
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_1925
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_1926
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2100
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2101
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2127
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2153
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2154
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2275
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2450
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2451
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2502
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2625
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2627
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_2676
nci,false,false,focal_hla__pr__regime_1225,focal_hla__pr__regime_725
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_1451
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_1452
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_1775
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_1925
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_1926
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2100
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2101
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2127
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2153
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2154
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2275
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2450
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2451
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2502
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2625
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2627
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_2676
nci,false,false,focal_hla__pr__regime_1400,focal_hla__pr__regime_725
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_1452
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_1775
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_1925
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_1926
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2100
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2101
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2127
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2153
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2154
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2275
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2450
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2451
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2502
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2625
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2627
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_2676
nci,false,false,focal_hla__pr__regime_1451,focal_hla__pr__regime_725
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_1775
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_1925
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_1926
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2100
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2101
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2127
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2153
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2154
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2275
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2450
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2451
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2502
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2625
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2627
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_2676
nci,false,false,focal_hla__pr__regime_1452,focal_hla__pr__regime_725
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_1925
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_1926
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2100
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2101
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2127
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2153
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2154
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2275
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2450
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2451
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2502
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2625
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2627
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_2676
nci,false,false,focal_hla__pr__regime_1775,focal_hla__pr__regime_725
nci,false,false,focal_hla__pr__regime_1925,focal_hla__pr__regime_1926
nci,false,false,focal_hla__pr__regime_1925,focal_hla__pr__regime_2100
nci,false,false,focal_hla__pr__regime_1925,focal_hla__pr__regime_2101
nci,false,false,focal_hla__pr__regime_1925,focal_hla__pr__regime_2127
nci,false,false,focal_hla__pr__regime_1925,focal_hla__pr__regime_2153
nci,false,false,focal_hla__pr__regime_1925,focal_hla__pr__regime_2154
