evaluation_id,exact_vector_identical,rank_equivalent,system_a,system_b
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2101
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2127
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2153
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2154
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2275
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2277
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2278
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2279
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2326
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2450
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2452
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2453
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2454
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2476
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2625
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2629
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2653
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2676
nci,false,false,focal_hla__roc__regime_2100,focal_hla__roc__regime_2677
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2127
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2153
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2154
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2275
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2277
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2278
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2279
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2326
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2450
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2452
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2453
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2454
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2476
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2625
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2629
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2653
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2676
nci,false,false,focal_hla__roc__regime_2101,focal_hla__roc__regime_2677
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2153
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2154
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2275
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2277
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2278
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2279
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2326
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2450
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2452
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2453
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2454
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2476
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2625
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2629
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2653
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2676
nci,false,false,focal_hla__roc__regime_2127,focal_hla__roc__regime_2677
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2154
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2275
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2277
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2278
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2279
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2326
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2450
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2452
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2453
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2454
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2476
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2625
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2629
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2653
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2676
nci,false,false,focal_hla__roc__regime_2153,focal_hla__roc__regime_2677
nci,false,false,focal_hla__roc__regime_2154,focal_hla__roc__regime_2275
nci,false,false,focal_hla__roc__regime_2154,focal_hla__roc__regime_2277
nci,false,false,focal_hla__roc__regime_2154,focal_hla__roc__regime_2278
nci,false,false,focal_hla__roc__regime_2154,focal_hla__roc__regime_2279
nci,false,false,focal_hla__roc__regime_2154,focal_hla__roc__regime_2326
nci,false,false,focal_hla__roc__regime_2154,focal_hla__roc__regime_2450
nci,false,false,focal_hla__roc__regime_2154,focal_hla__roc__regime_2452
nci,false,false,focal_hla__roc__regime_2154,focal_hla__roc__regime_2453
nci,false,false,focal_hla__roc__regime_2154,focal_hla__roc__regime_2454
nci,false,false,focal_hla__roc__regime_2154,focal_hla__roc__regime_2476
