evaluation_id,exact_vector_identical,rank_equivalent,system_a,system_b
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_1400
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_1451
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_1775
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_1926
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_1950
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2100
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2126
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2153
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2154
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2275
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2450
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2451
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_1225,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_1451
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_1775
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_1926
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_1950
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2100
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2126
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2153
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2154
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2275
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2450
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2451
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_1400,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_1775
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_1926
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_1950
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2100
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2126
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2153
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2154
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2275
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2450
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2451
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_1451,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_1775,full_hla__pr__regime_1926
