empirical_metric_high,empirical_metric_low,evaluation_id,match_id,observed_difference_high_over_low,observed_difference_low_over_high,system_high,system_low
,,nci,01e3b24c39d40a4c888a2e93aa9bfa68701bb4410b7807e931e97d15981ebcd4,0.0007665071770334928,-0.0007665071770334928,full_hla__roc__regime_2625,full_hla__roc__regime_2450
,,nci,033b9c03e2a4dd230c4aa8f21e6e58b638d7c16e8e6f14771074d3cef051102e,-0.00008899521531100478,0.00008899521531100478,full_hla__roc__regime_2453,full_hla__roc__regime_2452
,,nci,033c807eca204c8db020e33cd1d0f76887d1d1cea7ffda7083d1e825e8cbeddb,-0.00037894736842105265,0.00037894736842105265,full_hla__roc__regime_2653,full_hla__roc__regime_1975
,,nci,036d1b17098a33c8b8e449783c833c6d1ab52d0ce967725f2c085ebe8287728e,0.0002717703349282297,-0.0002717703349282297,full_hla__roc__regime_2451,full_hla__roc__regime_2277
,,nci,03e11941534002e8c1200f7d692432bde3fd699cb5073f624ed6f5642fe5441f,-0.0,0.0,full_hla__roc__regime_2454,full_hla__roc__regime_2278
,,nci,054d5cf8905a92c1fa70b407a0584e70341e360538fbcd9042c4dcd0b5819f07,0.00011004784688995215,-0.00011004784688995215,full_hla__roc__regime_2277,full_hla__roc__regime_1427
,,nci,05f2304b783dee44556bda87694081dc7be33198f8c4900a7325f6df04d8e1ad,-0.0002660287081339713,0.0002660287081339713,full_hla__roc__regime_2326,full_hla__roc__regime_2154
,,nci,062f54d70fa1bae91a39c192b706eda9ebb89ea81fa84b6866364fd4bde8b897,-0.0005425837320574162,0.0005425837320574162,full_hla__roc__regime_2451,full_hla__roc__regime_2103
,,nci,0892f4ab596986e2e8d43791df0162cc49d950c2136cfced69a938b2f017a855,-0.0003770334928229665,0.0003770334928229665,full_hla__roc__regime_2279,full_hla__roc__regime_2154
,,nci,09c79f636d46ede5d467b8021712341ec5ee1a09c299a3793d911506ed3ddd3c,-0.0003339712918660287,0.0003339712918660287,full_hla__roc__regime_2326,full_hla__roc__regime_2275
,,nci,0bf3b617a24a50e1e3dbce794d7c1d69eeeb542ec664b13e5847585d6d05773a,0.0010363636363636365,-0.0010363636363636365,full_hla__roc__regime_2450,full_hla__roc__regime_2278
,,nci,0e4f44f4562f59b571ff217a4d66528e1bc29fc1cf8b43ede9ede502a441d66d,-0.0007617224880382775,0.0007617224880382775,full_hla__roc__regime_2452,full_hla__roc__regime_2103
,,nci,0e9f049492ffdea7b76b3e3187b2e3545c1f3a648645d8782aa760e86354e2cd,0.0009358851674641147,-0.0009358851674641147,full_hla__roc__regime_2676,full_hla__roc__regime_2454
,,nci,10cecb36c09ef2eaf5d1f35e0b773854b359ad7e4398d4f056f6bd12bb8ae4a9,0.0012076555023923445,-0.0012076555023923445,full_hla__roc__regime_2103,full_hla__roc__regime_1800
,,nci,113835a49395a7285f9a0386fcf065ed73b3261c6209f7538b82f63f55973ed2,-0.0002880382775119617,0.0002880382775119617,full_hla__roc__regime_2452,full_hla__roc__regime_2154
,,nci,1145bc42c80ef7f12a98fab83530c6759791556f6756026c23ae94e8071972eb,0.0007971291866028708,-0.0007971291866028708,full_hla__roc__regime_2677,full_hla__roc__regime_1800
,,nci,11783fa44bdeb5f98629b7f35896048197f0cb9b4bb367e201eb48b89bd74753,-0.00030813397129186604,0.00030813397129186604,full_hla__roc__regime_2454,full_hla__roc__regime_2451
,,nci,131899c9f781c6472ad32db63154633216a76395746018fc78eb528bc694818d,-0.00021913875598086123,0.00021913875598086123,full_hla__roc__regime_2452,full_hla__roc__regime_2451
,,nci,147588fea52023c0aeb52dab0f875d0227292e68dbd71320a5370f70c3ce75b6,0.0009521531100478468,-0.0009521531100478468,full_hla__roc__regime_2625,full_hla__roc__regime_2103
,,nci,1594a5acc275f93e9979ef369536077b61e47e2fd30992c65fc4039ba1b11305,-0.000014354066985645932,0.000014354066985645932,full_hla__roc__regime_2653,full_hla__roc__regime_2454
,,nci,1661a75431ba272e53a1cb39a4d16b151a2a581573a0a56d2426f6f17f3b6f34,-0.00008899521531100478,0.00008899521531100478,full_hla__roc__regime_2454,full_hla__roc__regime_2452
,,nci,1730e0de40dbf52d7f596a1a26e1f1cc594f054ae7ea6fccf3846bb5fd3a1f5d,0.0005186602870813397,-0.0005186602870813397,full_hla__roc__regime_2275,full_hla__roc__regime_1427
,,nci,199df760ae6b003291d93d59ed6a7875644c90eeaa3a45fc78d6d8ae52b8bff9,0.0009358851674641147,-0.0009358851674641147,full_hla__roc__regime_2676,full_hla__roc__regime_2453
,,nci,19d5fe4600526997d02e6d093e7f8f5ec6e72cf9f48ea253960400fe27b28f41,0.00043827751196172246,-0.00043827751196172246,full_hla__roc__regime_1975,full_hla__roc__regime_1427
,,nci,1a28173324ad9b778bb890a6ed10d9b74c685f0796dc093d9fb1a3bf8057e691,-0.000014354066985645932,0.000014354066985645932,full_hla__roc__regime_2653,full_hla__roc__regime_2453
,,nci,1af199b11c4640a392635b4305796f1ae6fe4e1563f73833ba977877c48e5be3,0.0004909090909090909,-0.0004909090909090909,full_hla__roc__regime_2676,full_hla__roc__regime_2275
,,nci,1c64763e011c42aa0222f5482603c85ff781aca07a68bbb7182e977280623b55,0.0004861244019138756,-0.0004861244019138756,full_hla__roc__regime_2103,full_hla__roc__regime_1975
,,nci,1db0488087f6d9eed7613430c8a9113e9a61f8e5022b18b832b5b89a04cc272f,-0.0003645933014354067,0.0003645933014354067,full_hla__roc__regime_2279,full_hla__roc__regime_1975
,,nci,1e78794e06254daab837960f62e51843c29aebe61e8f7e7df23607b3abd1409c,-0.0001110047846889952,0.0001110047846889952,full_hla__roc__regime_2453,full_hla__roc__regime_2326
