evaluation_id,exact_vector_identical,rank_equivalent,system_a,system_b
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_1800
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_1975
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2103
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2154
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2275
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2277
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2278
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2279
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2326
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2450
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2451
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2452
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2453
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2454
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2625
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2653
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2676
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2677
nci,false,false,full_hla__roc__regime_1427,full_hla__roc__regime_2679
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_1975
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2103
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2154
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2275
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2277
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2278
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2279
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2326
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2450
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2451
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2452
nci,false,false,full_hla__roc__regime_1800,full_hla__roc__regime_2453
