evaluation_id,loser,match_id,official_verdict,verdict,winner
nci,full_q_mono_pn__roc__regime_1925,3fa947202ee6546573cb7c988f418c9ad9fc760d9c0e691866d8c4f4e7d34029,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_1926,ff9b5ece1bb1e54505d61ceedbf6e8696cf8e0326d52977e09701a9ec240e2a5,VerifiedPass,supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2128,e8de4f3620f86a138f605adfdd96c35dde6de40988c9b3dca604fd136ff2c61a,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2152,ee27cb8753d3a4b74979eb3e0c5cc75b3104a7efa9c306674d592d82df9b3fdf,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2154,e80f3df32b72120575fd2e6bb0b637bb85cf87d2165cf21144007c90148534f4,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2275,9be4f5be751c74c0e5426738e49349a59ffc2d8af7923e1a4ee1501bb28fe6c5,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2278,2b0bd693bf6752acd153dfc7fb32b1697bf20314cb61532d4324d4a37657a1b6,VerifiedPass,supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2279,382d77796145d3c329a32819e30d16dadd79b34fb0b12923104b9c0d04304e5e,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2326,4e067127563fec140c084329f595767aefc5659b0dcabeb7b78f22a5aa7b9e5b,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2327,f86eb2b7aa316d7236a6d3863eb2dcff4b5e6bd7f4cede7f9bf4ebe366d11d04,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2451,ff7b4f590cd5e9ef7acaf082ab8d43872fcf59c57310f844e072f0d9c9e060a9,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2452,c0a87511b723e58de6ad76ae67cd944f0d931f240b8efca2f87ee2ed04fa9ac6,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
nci,full_q_mono_pn__roc__regime_2500,575fc0348b35e674e0c72e4b96f58327f35f5b486e013d1802be3b131b062e54,VerifiedFailure,not_supported,full_q_mono_pn__roc__regime_1750
