evaluation_verdicts,loser,verdict,winner
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_1925,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_1926,supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2128,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2152,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2154,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2275,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2278,supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2279,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2326,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2327,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2451,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2452,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2500,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2503,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2625,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2626,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2627,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2628,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2629,not_supported,full_q_mono_pn__roc__regime_1750
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_1750,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_1926,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2128,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2152,not_supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2154,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2275,not_supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2278,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2279,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2326,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2327,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2451,not_supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2452,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2500,not_supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2503,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2625,not_supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2626,not_supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2627,not_supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2628,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""supported""}",full_q_mono_pn__roc__regime_2629,supported,full_q_mono_pn__roc__regime_1925
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_1750,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_1925,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2128,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2152,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2154,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2275,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2278,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2279,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2326,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2327,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2451,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2452,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2500,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2503,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2625,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2626,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2627,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2628,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2629,not_supported,full_q_mono_pn__roc__regime_1926
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_1750,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_1925,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_1926,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2152,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2154,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2275,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2278,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2279,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2326,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2327,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2451,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2452,not_supported,full_q_mono_pn__roc__regime_2128
"{""nci"":""not_supported""}",full_q_mono_pn__roc__regime_2500,not_supported,full_q_mono_pn__roc__regime_2128
