evaluation_id,exact_vector_identical,rank_equivalent,system_a,system_b
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_1925
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_1926
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2128
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2152
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2154
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2275
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2278
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2279
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2326
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2327
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2451
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2452
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2500
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2503
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2625
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2626
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2627
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2628
nci,false,false,full_q_mono_pn__roc__regime_1750,full_q_mono_pn__roc__regime_2629
nci,false,false,full_q_mono_pn__roc__regime_1925,full_q_mono_pn__roc__regime_1926
nci,false,false,full_q_mono_pn__roc__regime_1925,full_q_mono_pn__roc__regime_2128
