evaluation_id,exact_vector_identical,rank_equivalent,system_a,system_b
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_1925
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_1976
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2104
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2128
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2275
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2277
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2278
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2279
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2326
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2450
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2452
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2453
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2454
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2476
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2625
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2629
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2653
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2676
nci,false,false,mono_q_full_pn__roc__regime_1750,mono_q_full_pn__roc__regime_2677
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_1976
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2104
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2128
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2275
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2277
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2278
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2279
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2326
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2450
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2452
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2453
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2454
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2476
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2625
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2629
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2653
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2676
nci,false,false,mono_q_full_pn__roc__regime_1925,mono_q_full_pn__roc__regime_2677
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2104
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2128
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2275
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2277
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2278
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2279
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2326
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2450
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2452
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2453
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2454
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2476
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2625
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2629
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2653
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2676
nci,false,false,mono_q_full_pn__roc__regime_1976,mono_q_full_pn__roc__regime_2677
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2128
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2275
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2277
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2278
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2279
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2326
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2450
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2452
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2453
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2454
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2476
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2625
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2629
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2653
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2676
nci,false,false,mono_q_full_pn__roc__regime_2104,mono_q_full_pn__roc__regime_2677
nci,false,false,mono_q_full_pn__roc__regime_2128,mono_q_full_pn__roc__regime_2275
nci,false,false,mono_q_full_pn__roc__regime_2128,mono_q_full_pn__roc__regime_2277
nci,false,false,mono_q_full_pn__roc__regime_2128,mono_q_full_pn__roc__regime_2278
nci,false,false,mono_q_full_pn__roc__regime_2128,mono_q_full_pn__roc__regime_2279
