evaluation_id,exact_vector_identical,rank_equivalent,system_a,system_b
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_1225
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_1230
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_1575
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_1750
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_1755
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_1925
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_1926
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_1930
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_2275
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_2280
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_2450
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_2455
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_2460
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_2625
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_2626
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_2630
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_2631
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_2635
nci,false,false,old_monoallelic__pr__regime_1050,old_monoallelic__pr__regime_525
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_1230
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_1575
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_1750
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_1755
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_1925
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_1926
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_1930
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_2275
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_2280
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_2450
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_2455
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_2460
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_2625
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_2626
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_2630
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_2631
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_2635
nci,false,false,old_monoallelic__pr__regime_1225,old_monoallelic__pr__regime_525
nci,false,false,old_monoallelic__pr__regime_1230,old_monoallelic__pr__regime_1575
nci,false,false,old_monoallelic__pr__regime_1230,old_monoallelic__pr__regime_1750
nci,false,false,old_monoallelic__pr__regime_1230,old_monoallelic__pr__regime_1755
nci,false,false,old_monoallelic__pr__regime_1230,old_monoallelic__pr__regime_1925
nci,false,false,old_monoallelic__pr__regime_1230,old_monoallelic__pr__regime_1926
nci,false,false,old_monoallelic__pr__regime_1230,old_monoallelic__pr__regime_1930
