evaluation_verdicts,loser,verdict,winner
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1575,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1750,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1925,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1926,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2154,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2275,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2276,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2278,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2279,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2327,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2450,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2451,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2452,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2503,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2625,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2626,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2628,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2652,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2679,not_supported,old_monoallelic__roc__regime_1225
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1225,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1750,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1925,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1926,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2154,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2275,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2276,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2278,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2279,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2327,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2450,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2451,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2452,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2503,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2625,not_supported,old_monoallelic__roc__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2626,not_supported,old_monoallelic__roc__regime_1575
